[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=7.58933E-157]
[locus_tag=SynWH7803_0734],[protein_id=CAK23160.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0574],[protein_id=CAE19033.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.92098E-39]
[locus_tag=SynWH7803_0736],[protein_id=CAK23162.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0557],[protein_id=CAE19016.1],[gene=None],[protein=conserved hypothetical],[evalue=8.71821E-18]
[locus_tag=SynWH7803_0737],[protein_id=CAK23163.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1020],[protein_id=CAE19479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.27934E-18]
[locus_tag=SynWH7803_0740],[protein_id=CAK23166.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0575],[protein_id=CAE19034.1],[gene=None],[protein=conserved hypothetical],[evalue=1.68479E-18]
[locus_tag=SynWH7803_0741],[protein_id=CAK23167.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0576],[protein_id=CAE19035.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.07033E-36]
[locus_tag=SynWH7803_0742],[protein_id=CAK23168.1],[gene=rpoD],"[protein=Alternative RNA polymerase sigma factor, sigma-70 family]",[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]",[evalue=1.36203E-176],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=2.66095E-77],[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=8.71517E-69]
[locus_tag=SynWH7803_0743],[protein_id=CAK23169.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1368],[protein_id=CAE19827.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.20529E-68]
[locus_tag=SynWH7803_0746],[protein_id=CAK23172.1],[gene=hisIE],[protein=Histidine biosynthesis bifunctional protein hisIE (Phosphoribosyl-AMP cyclohydrolase / Phosphoribosyl-ATP pyrophosphatase],[locus_tag=PMM0578],[protein_id=CAE19037.1],[gene=None],[protein=Phosphoribosyl-AMP cyclohydrolase],[evalue=4.59655E-91]
[locus_tag=SynWH7803_0747],[protein_id=CAK23173.1],[gene=None],[protein=6-pyruvoyl tetrahydropterin synthase],[locus_tag=PMM0579],[protein_id=CAE19038.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.15764E-78]
[locus_tag=SynWH7803_0748],[protein_id=CAK23174.1],[gene=clpB],[protein=Chaperone ClpB],[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00],[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00]
[locus_tag=SynWH7803_0749],[protein_id=CAK23175.1],[gene=None],[protein=Endopeptidase Clp ATP-binding chain B],[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=2.87285E-16],[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=2.10267E-11]
[locus_tag=SynWH7803_0750],[protein_id=CAK23176.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1851],[protein_id=CAP16355.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.00887E-16]
[locus_tag=SynWH7803_0753],[protein_id=CAK23179.1],[gene=petE],[protein=Plastocyanin],[locus_tag=PMM0581],[protein_id=CAE19040.1],[gene=petE],[protein=plastocyanin],[evalue=1.68900E-66]
[locus_tag=SynWH7803_0754],[protein_id=CAK23180.1],[gene=None],[protein=Nucleoside-diphosphate-sugar epimerase],[locus_tag=PMM0582],[protein_id=CAE19041.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.61219E-114]
[locus_tag=SynWH7803_0755],[protein_id=CAK23181.1],[gene=hemE],[protein=Uroporphyrinogen decarboxylase],[locus_tag=PMM0583],[protein_id=CAE19042.1],[gene=hemE],[protein=Uroporphyrinogen decarboxylase (URO-D)],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0756],[protein_id=CAK23182.1],[gene=None],"[protein=Alpha-glycosidase of family GH13; possible 1, 4-alpha-glucan branching enzyme]",[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[evalue=0.00000E+00],[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=1.63840E-13]
[locus_tag=SynWH7803_0758],[protein_id=CAK23184.1],[gene=None],[protein=Predicted acyl esterase],[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.87523E-167]
[locus_tag=SynWH7803_0759],[protein_id=CAK23185.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical],[evalue=7.66660E-25]
[locus_tag=SynWH7803_0760],[protein_id=CAK23186.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical],[evalue=4.18274E-20]
[locus_tag=SynWH7803_0761],[protein_id=CAK23187.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.84515E-43]
[locus_tag=SynWH7803_0762],[protein_id=CAK23188.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[evalue=5.54764E-86]
[locus_tag=SynWH7803_0764],[protein_id=CAK23190.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0765],[protein_id=CAK23191.1],[gene=folB],[protein=Dihydroneopterin aldolase],[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[evalue=1.67089E-27]
[locus_tag=SynWH7803_0766],[protein_id=CAK23192.1],[gene=None],[protein=Lipase family protein],[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein],[evalue=4.37803E-60]
[locus_tag=SynWH7803_0771],[protein_id=CAK23197.1],[gene=prlC],[protein=Oligopeptidase A],[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3],[evalue=0.00000E+00]
[locus_tag=SynWH7803_0772],[protein_id=CAK23198.1],[gene=ndhD],[protein=NAD(P)H-quinone oxidoreductase chain 4],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 4)],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=putative NADH dehydrogenase subunit (chain 4)],[evalue=3.68610E-175],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 5)],[evalue=1.14579E-16]
[locus_tag=SynWH7803_0773],[protein_id=CAK23199.1],[gene=thrB],[protein=Homoserine kinase],[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=Homoserine kinase:GHMP kinases putative ATP-binding domain],[evalue=3.61099E-173]
[locus_tag=SynWH7803_0774],[protein_id=CAK23200.1],[gene=glk],[protein=Glucokinase],[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase],[evalue=6.21313E-93]
[locus_tag=SynWH7803_0775],[protein_id=CAK23201.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1166],[protein_id=CAE19625.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.43978E-35]
[locus_tag=SynWH7803_0776],[protein_id=CAK23202.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=3.20886E-166]
[locus_tag=SynWH7803_0780],[protein_id=CAK23206.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[evalue=1.13138E-173]
[locus_tag=SynWH7803_0781],[protein_id=CAK23207.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.04765E-27]
[locus_tag=SynWH7803_0783],[protein_id=CAK23209.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.03872E-92]
[locus_tag=SynWH7803_0784],[protein_id=CAK23210.1],[gene=psbA],[protein=Photosystem II protein D1],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=1.48871E-49]
[locus_tag=SynWH7803_0789],[protein_id=CAK23215.1],"[gene=gapA, gap1]",[protein=Glyceraldehyde-3-phosphate dehydrogenase],[locus_tag=PMM0023],[protein_id=CAE18482.1],[gene=gap2],[protein=Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)],[evalue=1.24680E-90],[locus_tag=PMM0713],[protein_id=CAE19172.1],[gene=gap1],[protein=Putative glyceraldehyde 3-phosphate dehydrogenase],[evalue=1.90961E-83]
[locus_tag=SynWH7803_0790],[protein_id=CAK23216.1],[gene=psbA],[protein=Photosystem II protein D1],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=0.00000E+00],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=1.66454E-47]
[locus_tag=SynWH7803_0794],[protein_id=CAK23220.1],[gene=rbsK],"[protein=Sugar kinase, ribokinase family]",[locus_tag=PMM1044],[protein_id=CAE19503.1],[gene=rbsK],[protein=possible pfkB family carbohydrate kinase],[evalue=2.43969E-90]
[locus_tag=SynWH7803_0796],[protein_id=CAK23222.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0738],[protein_id=CAE19197.1],[gene=None],[protein=conserved hypothetical],[evalue=1.06876E-20]
[locus_tag=SynWH7803_0798],[protein_id=CAK23224.1],[gene=nth],[protein=Endonuclease III],[locus_tag=PMM0802],[protein_id=CAE19261.1],[gene=None],[protein=putative endonuclease],[evalue=6.82579E-102]
[locus_tag=SynWH7803_0803],[protein_id=CAK23229.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0383],[protein_id=CAE18842.1],[gene=None],[protein=probable periplasmic protein],[evalue=2.99274E-73]
[locus_tag=SynWH7803_0804],[protein_id=CAK23230.1],[gene=None],[protein=Carotenoid isomerase],[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase],[evalue=0.00000E+00],[locus_tag=PMM1115],[protein_id=CAE19574.1],[gene=crtH],[protein=putative carotenoid isomerase],[evalue=7.25275E-65]
[locus_tag=SynWH7803_0805],[protein_id=CAK23231.1],[gene=None],[protein=Possible SAM-dependent methyltransferase],[locus_tag=PMM1168],[protein_id=CAE19627.1],[gene=F4P13.20],[protein=conserved hypothetical protein],[evalue=5.33320E-72]
[locus_tag=SynWH7803_0806],[protein_id=CAK23232.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0691],[protein_id=CAE19150.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.51897E-11]
[locus_tag=SynWH7803_0808],[protein_id=CAK23234.1],[gene=None],[protein=Predicted nucleoside-diphosphate-sugar epimerase],[locus_tag=PMM0801],[protein_id=CAE19260.1],[gene=ycf39],[protein=conserved hypothetical protein],[evalue=1.58816E-87]
[locus_tag=SynWH7803_0809],[protein_id=CAK23235.1],[gene=None],[protein=Predicted NAD/FAD-dependent oxidoreductase],[locus_tag=PMM0990],[protein_id=CAE19449.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.56758E-45]
[locus_tag=SynWH7803_0810],[protein_id=CAK23236.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1026],[protein_id=CAE19485.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.40326E-20],[locus_tag=PMM0703],[protein_id=CAE19162.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.60221E-11]
[locus_tag=SynWH7803_0812],[protein_id=CAK23238.1],[gene=None],[protein=Rieske-type iron-sulfur cluster-binding protein],[locus_tag=PMM0808],[protein_id=CAE19267.1],[gene=None],[protein=Rieske iron-sulfur protein 2Fe-2S subunit],[evalue=2.26819E-15]
[locus_tag=SynWH7803_0813],[protein_id=CAK23239.1],[gene=None],[protein=Predicted enzyme of the cupin superfamily],[locus_tag=PMM1372],[protein_id=CAE19831.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.80600E-28]
[locus_tag=SynWH7803_0816],[protein_id=CAK23242.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1172],[protein_id=CAE19631.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.94138E-68]
[locus_tag=SynWH7803_0817],[protein_id=CAK23243.1],[gene=None],[protein=Putative pyridoxamine phosphate oxidase],[locus_tag=PMM1358],[protein_id=CAE19817.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.84111E-41]
[locus_tag=SynWH7803_0818],[protein_id=CAK23244.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0340],[protein_id=CAE18799.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.39017E-34]
[locus_tag=SynWH7803_0819],[protein_id=CAK23245.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0378],[protein_id=CAE18837.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.48582E-39]
[locus_tag=SynWH7803_0820],[protein_id=CAK23246.1],[gene=None],[protein=Glutathione S-transferase domain protein],[locus_tag=PMM0566],[protein_id=CAE19025.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.97280E-140]
[locus_tag=SynWH7803_0824],[protein_id=CAK23250.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1642],[protein_id=CAE20101.1],[gene=None],[protein=possible transcription regulator],[evalue=1.57023E-64]
[locus_tag=SynWH7803_0825],[protein_id=CAK23251.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[locus_tag=PMM1359],[protein_id=CAE19818.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.62622E-66]
[locus_tag=SynWH7803_0828],[protein_id=CAK23254.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1381],[protein_id=CAE19840.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.97682E-70]
[locus_tag=SynWH7803_0829],[protein_id=CAK23255.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0996],[protein_id=CAE19455.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.50645E-30],[locus_tag=PMM1409],[protein_id=CAE19868.1],[gene=None],[protein=possible Rubredoxin],[evalue=8.68839E-23],[locus_tag=PMM0364],[protein_id=CAE18823.1],[gene=None],[protein=possible Malic enzyme],[evalue=1.62664E-21]
[locus_tag=SynWH7803_0833],[protein_id=CAK23259.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1028],[protein_id=CAE19487.1],[gene=None],[protein=conserved hypothetical],[evalue=5.30664E-38],[locus_tag=PMM0872],[protein_id=CAE19331.1],[gene=None],[protein=possible Carboxylesterase],[evalue=1.66125E-37]
[locus_tag=SynWH7803_0834],[protein_id=CAK23260.1],[gene=None],[protein=Membrane protease subunit],[locus_tag=PMM0482],[protein_id=CAE18941.1],[gene=phb],[protein=Band 7 protein],[evalue=9.14667E-134]
[locus_tag=SynWH7803_0838],[protein_id=CAK23264.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0998],[protein_id=CAE19457.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.34658E-33]
[locus_tag=SynWH7803_0840],[protein_id=CAK23266.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0338],[protein_id=CAE18797.1],[gene=None],[protein=conserved hypothetical],[evalue=5.80574E-29]
[locus_tag=SynWH7803_0843],[protein_id=CAK23269.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0685],[protein_id=CAE19144.1],[gene=None],[protein=hypothetical protein],[evalue=4.38198E-12],[locus_tag=PMM1427],[protein_id=CAE19886.1],[gene=None],[protein=conserved hypothetical],[evalue=7.44074E-11]
[locus_tag=SynWH7803_0848],[protein_id=CAK23274.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM2004],[protein_id=CAP16509.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.26829E-17],[locus_tag=PMM1896],[protein_id=CAP16400.1],[gene=None],[protein=Hypothetical protein],[evalue=8.26829E-17]
[locus_tag=SynWH7803_0849],[protein_id=CAK23275.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1413],[protein_id=CAE19872.1],[gene=None],[protein=conserved hypothetical],[evalue=1.56920E-31]
[locus_tag=SynWH7803_0856],[protein_id=CAK23282.1],[gene=None],[protein=Short-chain dehydrogenase/reductase family enzyme],[locus_tag=PMM0694],[protein_id=CAE19153.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=5.07370E-84],[locus_tag=PMM0414],[protein_id=CAE18873.1],[gene=None],[protein=putative short chain dehydrogenase],[evalue=1.73287E-15]
[locus_tag=SynWH7803_0861],[protein_id=CAK23287.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0367],[protein_id=CAE18826.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.24260E-59]
[locus_tag=SynWH7803_0862],[protein_id=CAK23288.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1133],[protein_id=CAE19592.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.49289E-24],[locus_tag=PMM1412],[protein_id=CAE19871.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.01555E-17]
[locus_tag=SynWH7803_0868],[protein_id=CAK23294.1],"[gene=por, pcr]",[protein=Light-dependent protochlorophyllide oxido-reductase],[locus_tag=PMM0634],[protein_id=CAE19093.1],"[gene=por, pcr]",[protein=possible light-dependent protochlorophyllide oxido-reductase],[evalue=2.53010E-71],[locus_tag=PMM0542],[protein_id=CAE19001.1],"[gene=por, pcr]",[protein=Light dependent protochlorophyllide oxido-reductase],[evalue=8.41625E-26],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=Short-chain dehydrogenase/reductase (SDR) superfamily],[evalue=2.53188E-21]
[locus_tag=SynWH7803_0877],[protein_id=CAK23303.1],[gene=adhC],[protein=Probable alcohol dehydrogenase class III (Glutathione-dependent formaldehyde dehydrogenase)],[locus_tag=PMM1234],[protein_id=CAE19693.1],[gene=None],[protein=Zinc-containing alcohol dehydrogenase superfamily],[evalue=1.53371E-39]
[locus_tag=SynWH7803_0899],[protein_id=CAK23325.1],[gene=None],[protein=Possible two component system response regulator],[locus_tag=PMM0154],[protein_id=CAE18613.1],[gene=None],"[protein=Bacterial regulatory protein, LuxR family]",[evalue=5.52814E-12]
[locus_tag=SynWH7803_0901],[protein_id=CAK23327.1],[gene=None],[protein=Staphylococcal nuclease homolog],[locus_tag=PMM1417],[protein_id=CAE19876.1],[gene=None],[protein=Staphylococcus nuclease (SNase) homologues],[evalue=3.33650E-13]
[locus_tag=SynWH7803_0921],[protein_id=CAK23347.1],[gene=None],[protein=Predicted metal-binding protein],[locus_tag=PMM1422],[protein_id=CAE19881.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.66418E-28]
[locus_tag=SynWH7803_0939],[protein_id=CAK23365.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical],[evalue=1.74547E-20]
[locus_tag=SynWH7803_0942],[protein_id=CAK23368.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM0424],[protein_id=CAE18883.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.27927E-26]
