[locus_tag=SynWH8103_00001],[protein_id=CRY90759.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=3.93831E-159]
[locus_tag=SynWH8103_00679],[protein_id=CRY91420.1],[gene=sdhA],"[protein=Succinate dehydrogenase/fumarate reductase, flavoprotein subunit]",[locus_tag=PMM0100],[protein_id=CAE18559.1],[gene=nadB],[protein=L-aspartate oxidase],[evalue=2.85550E-23]
[locus_tag=SynWH8103_00689],[protein_id=CRY91428.1],[gene=infB],[protein=translation initiation factor IF-2],[locus_tag=PMM1494],[protein_id=CAE19953.1],[gene=infB],[protein=Translation initiation factor IF-2],[evalue=0.00000E+00],[locus_tag=PMM0420],[protein_id=CAE18879.1],[gene=lepA],[protein=GTP-binding protein LepA],[evalue=5.03170E-15],[locus_tag=PMM1508],[protein_id=CAE19967.1],[gene=tufA],[protein=Elongation factor Tu],[evalue=6.79631E-13]
[locus_tag=SynWH8103_00695],[protein_id=CRY91434.1],[gene=nusA],[protein=transcription termination factor NusA],[locus_tag=PMM1492],[protein_id=CAE19951.1],[gene=nusA],[protein=N utilization substance protein A],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00696],[protein_id=CRY91435.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1491],[protein_id=CAE19950.1],[gene=None],[protein=DUF150],[evalue=1.18356E-28]
[locus_tag=SynWH8103_00702],[protein_id=CRY91441.1],[gene=degP],[protein=serine protease Do],[locus_tag=PMM1490],[protein_id=CAE19949.1],[gene=None],[protein=Serine protease],[evalue=4.87846E-170],[locus_tag=PMM0090],[protein_id=CAE18549.1],[gene=None],[protein=possible serine protease],[evalue=3.47870E-97],[locus_tag=PMM1425],[protein_id=CAE19884.1],[gene=None],"[protein=Serine proteases, trypsin family:HtrA/DegQ protease family]",[evalue=1.44846E-33]
[locus_tag=SynWH8103_00704],[protein_id=CRY91442.1],[gene=rpiA],[protein=ribose 5-phosphate isomerase A],[locus_tag=PMM1489],[protein_id=CAE19948.1],"[gene=rpiA, cbbI]",[protein=Ribose 5-phosphate isomerase],[evalue=7.07961E-107]
[locus_tag=SynWH8103_00703],[protein_id=CRY91443.1],[gene=hisD],[protein=histidinol dehydrogenase],[locus_tag=PMM1488],[protein_id=CAE19947.1],[gene=hisD],[protein=Histidinol dehydrogenase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00705],[protein_id=CRY91444.1],[gene=rpsT],[protein=30S ribosomal protein S20],[locus_tag=PMM1487],[protein_id=CAE19946.1],"[gene=rpsT,rps20]",[protein=30s Ribosomal protein S20],[evalue=2.87632E-34]
[locus_tag=SynWH8103_00706],[protein_id=CRY91445.1],[gene=tatD],[protein=Mg-dependent DNase],[locus_tag=PMM1486],[protein_id=CAE19945.1],[gene=None],"[protein=possible deoxyribonuclease, TatD family]",[evalue=7.81384E-117]
[locus_tag=SynWH8103_00707],[protein_id=CRY91446.1],[gene=rpoB],"[protein=DNA-directed RNA polymerase, beta subunit]",[locus_tag=PMM1485],[protein_id=CAE19944.1],[gene=rpoB],[protein=RNA polymerase beta subunit],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00708],[protein_id=CRY91447.1],[gene=rpoC1],"[protein=DNA-directed RNA polymerase complex, gamma subunit]",[locus_tag=PMM1484],[protein_id=CAE19943.1],[gene=rpoC1],[protein=RNA polymerase gamma subunit],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00709],[protein_id=CRY91448.1],[gene=None],"[protein=DNA-directed RNA polymerase, beta'' subunit]",[locus_tag=PMM1483],[protein_id=CAE19942.1],[gene=rpoC2],[protein=RNA polymerase beta prime subunit],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00710],[protein_id=CRY91449.1],[gene=hli],[protein=High light inducible protein],[locus_tag=PMM1482],[protein_id=CAE19941.1],[gene=hli3],[protein=possible high light inducible protein],[evalue=5.37050E-20],[locus_tag=PMM0064],[protein_id=CAE18523.1],[gene=hli2],[protein=possible high light inducible protein],[evalue=9.86933E-07],[locus_tag=PMM1317],[protein_id=CAE19776.1],[gene=hli13],[protein=possible high light inducible protein],[evalue=5.18990E-06]
[locus_tag=SynWH8103_00712],[protein_id=CRY91450.1],[gene=rlmN],[protein=23S rRNA m2A2503 methyltransferase],[locus_tag=PMM1481],[protein_id=CAE19940.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.73220E-136]
[locus_tag=SynWH8103_00715],[protein_id=CRY91454.1],[gene=None],[protein=putative membrane protein],[locus_tag=PMM2018],[protein_id=CAP16523.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.12108E-15]
[locus_tag=SynWH8103_00719],[protein_id=CRY91458.1],[gene=iaiH],[protein=PBS lyase HEAT-like repeat domain-containing protein (IaiH homolog)],[locus_tag=PMM1480],[protein_id=CAE19939.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.11899E-83]
[locus_tag=SynWH8103_00720],[protein_id=CRY91459.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1479],[protein_id=CAE19938.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.89144E-18]
[locus_tag=SynWH8103_00721],[protein_id=CRY91460.1],[gene=None],"[protein=Protein of unknown function, DUF1257 superfamily]",[locus_tag=PMM1478],[protein_id=CAE19937.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.94407E-48]
[locus_tag=SynWH8103_00722],[protein_id=CRY91461.1],[gene=None],[protein=3Fe-4S ferredoxin],[locus_tag=PMM1477],[protein_id=CAE19936.1],[gene=None],[protein=conserved hypothetical],[evalue=1.96482E-35]
[locus_tag=SynWH8103_00724],[protein_id=CRY91462.1],[gene=None],[protein=aldo/keto reductase family protein],[locus_tag=PMM1476],[protein_id=CAE19935.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=5.59009E-164],[locus_tag=PMM0441],[protein_id=CAE18900.1],[gene=None],[protein=Aldo/keto reductase family],[evalue=4.86163E-45]
[locus_tag=SynWH8103_00723],[protein_id=CRY91463.1],[gene=gidB],[protein=16S rRNA (guanine(527)-N(7))-methyltransferase GidB],[locus_tag=PMM1475],[protein_id=CAE19934.1],[gene=gidB],[protein=putative glucose inhibited division protein B],[evalue=1.61281E-63]
[locus_tag=SynWH8103_00725],[protein_id=CRY91464.1],[gene=None],[protein=DnaJ domain containing protein],[locus_tag=PMM1474],[protein_id=CAE19933.1],[gene=None],[protein=DnaJ-like protein],[evalue=1.61780E-19],[locus_tag=PMM0017],[protein_id=CAE18476.1],[gene=dnaJ],[protein=DnaJ protein],[evalue=3.50191E-10],[locus_tag=PMM0896],[protein_id=CAE19355.1],[gene=dnaJ2],[protein=DnaJ2 protein],[evalue=1.06284E-07]
[locus_tag=SynWH8103_00726],[protein_id=CRY91465.1],[gene=bioA],[protein=Adenosylmethionine-8-amino-7-oxononanoate aminotransferase],[locus_tag=PMM1472],[protein_id=CAE19931.1],[gene=BioA],[protein=putative diaminopelargonic acid synthase],[evalue=0.00000E+00],[locus_tag=PMM1301],[protein_id=CAE19760.1],[gene=argD],[protein=N-acetylornithine aminotransferase],[evalue=2.64209E-26],[locus_tag=PMM0483],[protein_id=CAE18942.1],"[gene=hemL, gsa]","[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=3.50559E-17]
[locus_tag=SynWH8103_00729],[protein_id=CRY91468.1],[gene=bioD],[protein=dethiobiotin synthase],[locus_tag=PMM1471],[protein_id=CAE19930.1],[gene=BioD],[protein=putative Dethiobiotin synthase],[evalue=4.15851E-81]
[locus_tag=SynWH8103_00730],[protein_id=CRY91469.1],[gene=None],[protein=Putative SAM-dependent methyltransferase],[locus_tag=PMM1470],[protein_id=CAE19929.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.01225E-41]
[locus_tag=SynWH8103_00731],[protein_id=CRY91470.1],[gene=None],[protein=alpha/beta hydrolase family protein],[locus_tag=PMM1469],[protein_id=CAE19928.1],[gene=None],[protein=conserved hypothetical],[evalue=3.06662E-33]
[locus_tag=SynWH8103_00732],[protein_id=CRY91471.1],[gene=None],[protein=aminotransferase class I and II family protein],[locus_tag=PMM1468],[protein_id=CAE19927.1],[gene=bioF],[protein=putative 8-amino-7-oxononanoate synthase],[evalue=7.80821E-122]
[locus_tag=SynWH8103_00734],[protein_id=CRY91473.1],[gene=None],[protein=helicase conserved C-terminal domain protein],[locus_tag=PMM1467],[protein_id=CAE19926.1],[gene=None],[protein=putative DNA helicase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00735],[protein_id=CRY91474.1],[gene=fumC],[protein=Fumarase],[locus_tag=PMM1466],[protein_id=CAE19925.1],[gene=fumC],[protein=Fumarate lyase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00736],[protein_id=CRY91475.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1503],[protein_id=CAE19962.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.11155E-06]
[locus_tag=SynWH8103_00743],[protein_id=CRY91482.1],[gene=None],"[protein=beta-glycosyltransferase, family 2]",[locus_tag=PMM1222],[protein_id=CAE19681.1],[gene=None],[protein=possible glycosyl transferase],[evalue=3.15414E-10]
[locus_tag=SynWH8103_00744],[protein_id=CRY91483.1],[gene=rfbB],"[protein=dTDP-glucose-4,6-dehydratase]",[locus_tag=PMM1201],[protein_id=CAE19660.1],[gene=None],[protein=Putative CDP-tyvelose-2-epimerase (RfbE)],[evalue=2.19747E-22],[locus_tag=PMM1203],[protein_id=CAE19662.1],[gene=rfbG],"[protein=CDP-glucose 4,6-dehydratase]",[evalue=1.93464E-21],[locus_tag=PMM1210],[protein_id=CAE19669.1],[gene=None],[protein=Putative nucleotide sugar epimerase],[evalue=6.13008E-19]
[locus_tag=SynWH8103_00747],[protein_id=CRY91486.1],[gene=rfbA],[protein=glucose-1-phosphate thymidylyltransferase],[locus_tag=PMM1216],[protein_id=CAE19675.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=4.65045E-14],[locus_tag=PMM0152],[protein_id=CAE18611.1],[gene=None],[protein=Putative sugar-phosphate nucleotidyl transferase],[evalue=6.53586E-14]
[locus_tag=SynWH8103_00748],[protein_id=CRY91487.1],[gene=None],[protein=isoprenylcysteine carboxyl methyltransferase family protein],[locus_tag=PMM1104],[protein_id=CAE19563.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.26598E-12]
[locus_tag=SynWH8103_00752],[protein_id=CRY91490.1],[gene=cobI],[protein=precorrin-2 C20-methyltransferase],[locus_tag=PMM0389],[protein_id=CAE18848.1],[gene=cobI/cbiL],[protein=PRECORRIN-2 C20-METHYLTRANSFERASE],[evalue=1.23681E-45],[locus_tag=PMM0459],[protein_id=CAE18918.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[evalue=4.74965E-09]
[locus_tag=SynWH8103_00751],[protein_id=CRY91491.1],[gene=None],"[protein=possible polysaccharide-forming beta-glycosyltransferase, family 2]",[locus_tag=PMM1659],[protein_id=CAE20118.1],[gene=None],"[protein=Glycosyl transferase, family 2]",[evalue=5.22909E-07]
[locus_tag=SynWH8103_00753],[protein_id=CRY91492.1],[gene=None],"[protein=TIM-barrel, nifR3 family protein]",[locus_tag=PMM1009],[protein_id=CAE19468.1],[gene=None],[protein=putative nitrogen regulation protein NifR3 family homolog],[evalue=4.58631E-133],[locus_tag=PMM0014],[protein_id=CAE18473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.29165E-28]
[locus_tag=SynWH8103_00754],[protein_id=CRY91493.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0390],[protein_id=CAE18849.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.61243E-48]
[locus_tag=SynWH8103_00755],[protein_id=CRY91494.1],[gene=engA],[protein=ribosome-associated GTPase EngA],[locus_tag=PMM0391],[protein_id=CAE18850.1],[gene=None],[protein=GTP-binding protein (HSR1-related)],[evalue=0.00000E+00],[locus_tag=PMM0189],[protein_id=CAE18648.1],[gene=None],[protein=putative thiophen / furan oxidation protein],[evalue=1.93031E-16],[locus_tag=PMM0189],[protein_id=CAE18648.1],[gene=None],[protein=putative thiophen / furan oxidation protein],[evalue=6.91965E-06]
[locus_tag=SynWH8103_00756],[protein_id=CRY91495.1],[gene=cbiQ],"[protein=putative ABC-type cobalt transporter, membrane component]",[locus_tag=PMM0392],[protein_id=CAE18851.1],[gene=None],[protein=possible cobalt transport protein],[evalue=5.71996E-90]
[locus_tag=SynWH8103_00757],[protein_id=CRY91496.1],[gene=pipX],[protein=nitrogen regulatory factor],[locus_tag=PMM0393],[protein_id=CAE18852.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.71954E-40]
[locus_tag=SynWH8103_00758],[protein_id=CRY91497.1],[gene=ylmE],[protein=cell division protein YlmE],[locus_tag=PMM0394],[protein_id=CAE18853.1],[gene=None],[protein=conserved hypothetical protein],[evalue=7.03629E-72]
[locus_tag=SynWH8103_00759],[protein_id=CRY91498.1],[gene=sepF],[protein=Cell division protein SepF (Cdv2)],[locus_tag=PMM0395],[protein_id=CAE18854.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.49393E-74]
[locus_tag=SynWH8103_00760],[protein_id=CRY91499.1],[gene=proC],[protein=pyrroline-5-carboxylate reductase],[locus_tag=PMM0396],[protein_id=CAE18855.1],[gene=proC],[protein=Delta 1-pyrroline-5-carboxylate reductase],[evalue=1.45930E-77]
[locus_tag=SynWH8103_00761],[protein_id=CRY91500.1],[gene=None],"[protein=possible alpha-glycosyltransferase, family 4]",[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[evalue=0.00000E+00],[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX],[evalue=2.28109E-17]
[locus_tag=SynWH8103_00763],[protein_id=CRY91502.1],[gene=recO],"[protein=gap repair protein, RecO family]",[locus_tag=PMM0398],[protein_id=CAE18857.1],[gene=None],[protein=possible Recombination protein O (RecO)],[evalue=2.27994E-80]
[locus_tag=SynWH8103_00764],[protein_id=CRY91503.1],[gene=None],[protein=deoC/LacD aldolase family protein],[locus_tag=PMM0399],[protein_id=CAE18858.1],[gene=None],[protein=Putative deoxyribose-phosphate aldolase],[evalue=3.93441E-29]
[locus_tag=SynWH8103_00765],[protein_id=CRY91504.1],[gene=irtA],[protein=Low light-inducible protein],[locus_tag=PMM0400],[protein_id=CAE18859.1],[gene=lrtA],[protein=light repressed protein A homolog],[evalue=1.43640E-87]
[locus_tag=SynWH8103_00766],[protein_id=CRY91505.1],[gene=lipB],[protein=Lipoyltransferase],[locus_tag=PMM0401],[protein_id=CAE18860.1],[gene=lipB],[protein=putative lipoate-protein ligase B],[evalue=1.90154E-55]
[locus_tag=SynWH8103_00767],[protein_id=CRY91506.1],[gene=None],[protein=AMP-binding enzyme family protein],[locus_tag=PMM0402],[protein_id=CAE18861.1],[gene=fadD],[protein=putative long-chain-fatty-acid--CoA ligase],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00768],[protein_id=CRY91507.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0403],[protein_id=CAE18862.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.42115E-61]
[locus_tag=SynWH8103_00769],[protein_id=CRY91508.1],[gene=pdhC (aceF)],"[protein=Pyruvate dehydrogenase complex, dihydrolipoamideacyltransferase (E2) component]",[locus_tag=PMM0405],[protein_id=CAE18864.1],[gene=pdhC],[protein=Dihydrolipoamide acetyltransferase component (E2) of pyruvate de],[evalue=0.00000E+00]
[locus_tag=SynWH8103_00770],[protein_id=CRY91509.1],[gene=queA],[protein=tRNA ribosyltransferase-isomerase],[locus_tag=PMM0406],[protein_id=CAE18865.1],[gene=queA],[protein=Queuosine biosynthesis protein],[evalue=3.28899E-126]
[locus_tag=SynWH8103_00771],[protein_id=CRY91510.1],[gene=cysK],[protein=cysteine synthase A],[locus_tag=PMM0407],[protein_id=CAE18866.1],[gene=cysK1],[protein=O-acetylserine (thiol)-lyase A],[evalue=0.00000E+00],[locus_tag=PMM0123],[protein_id=CAE18582.1],[gene=cysK2],[protein=O-acetylserine (thiol)-lyase A],[evalue=2.03186E-84],[locus_tag=PMM0908],[protein_id=CAE19367.1],[gene=ilvA],[protein=threonine dehydratase],[evalue=5.45799E-06]
[locus_tag=SynWH8103_00772],[protein_id=CRY91511.1],[gene=metB],[protein=cys/Met metabolism PLP-dependent enzyme family protein],[locus_tag=PMM0408],[protein_id=CAE18867.1],[gene=None],[protein=possible Cystathionine gamma-synthase],[evalue=9.37717E-175],[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase],[evalue=4.99279E-16],[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[evalue=1.67750E-09]
[locus_tag=SynWH8103_00773],[protein_id=CRY91512.1],[gene=metB/CysA],[protein=O-succinylhomoserine(thiol)-lyase],[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase],[evalue=1.35709E-180],[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[evalue=2.06395E-46],[locus_tag=PMM0408],[protein_id=CAE18867.1],[gene=None],[protein=possible Cystathionine gamma-synthase],[evalue=2.26361E-13]
[locus_tag=SynWH8103_00774],[protein_id=CRY91513.1],[gene=psbC],[protein=Photosystem II CP43 protein],[locus_tag=PMM1158],[protein_id=CAE19617.1],[gene=psbC],[protein=Photosystem II PsbC protein (CP43)],[evalue=0.00000E+00],[locus_tag=PMM0627],[protein_id=CAE19086.1],[gene=pcb],[protein=light-harvesting complex protein],[evalue=3.97432E-52],[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=Photosystem II PsbB protein (CP47)],[evalue=1.62769E-19]
[locus_tag=SynWH8103_00775],[protein_id=CRY91514.1],[gene=psbD],[protein=Photosystem II D2 protein],[locus_tag=PMM1157],[protein_id=CAE19616.1],[gene=psbD],[protein=Photosystem II PsbD protein (D2)],[evalue=0.00000E+00],[locus_tag=PMM0223],[protein_id=CAE18682.1],[gene=psbA],[protein=Photosystem II PsbA protein (D1)],[evalue=1.82179E-47]
[locus_tag=SynWH8103_00777],[protein_id=CRY91516.1],[gene=None],[protein=ycf4 family protein],[locus_tag=PMM1156],[protein_id=CAE19615.1],[gene=None],[protein=photosystem I assembly related protein Ycf4],[evalue=3.24661E-66]
[locus_tag=SynWH8103_00778],[protein_id=CRY91517.1],[gene=None],[protein=cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein],[locus_tag=PMM1155],[protein_id=CAE19614.1],[gene=ppiA],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=4.38440E-30],[locus_tag=PMM0025],[protein_id=CAE18484.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=1.54005E-17],[locus_tag=PMM0894],[protein_id=CAE19353.1],[gene=None],[protein=Cyclophilin-type peptidyl-prolyl cis-trans isomerase],[evalue=8.60861E-16]
[locus_tag=SynWH8103_00779],[protein_id=CRY91518.1],[gene=ilvN],"[protein=acetolactate synthase, small subunit]",[locus_tag=PMM1154],[protein_id=CAE19613.1],[gene=ilvH],[protein=Acetolactate synthase small subunit],[evalue=5.21538E-95]
[locus_tag=SynWH8103_00780],[protein_id=CRY91519.1],[gene=None],[protein=dienelactone hydrolase family protein],[locus_tag=PMM1153],[protein_id=CAE19612.1],[gene=None],[protein=predicted alpha/beta hydrolase superfamily protein],[evalue=2.20475E-87],[locus_tag=PMM1628],[protein_id=CAE20087.1],[gene=None],[protein=possible alpha/beta hydrolase superfamily],[evalue=3.69995E-42],[locus_tag=PMM1599],[protein_id=CAE20058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.88579E-28]
[locus_tag=SynWH8103_00782],[protein_id=CRY91522.1],[gene=None],[protein=short chain dehydrogenase family protein],[locus_tag=PMM1152],[protein_id=CAE19611.1],[gene=ycf39],[protein=putative chaperon-like protein for quinone binding in photosystem II],[evalue=8.68408E-154],[locus_tag=PMM0801],[protein_id=CAE19260.1],[gene=ycf39],[protein=conserved hypothetical protein],[evalue=1.81703E-10]
[locus_tag=SynWH8103_00783],[protein_id=CRY91523.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM1966],[protein_id=CAP16471.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.48864E-18]
[locus_tag=SynWH8103_00784],[protein_id=CRY91524.1],[gene=None],[protein=methyltransferase domain protein],[locus_tag=PMM0416],[protein_id=CAE18875.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.04040E-118]
[locus_tag=SynWH8103_00787],[protein_id=CRY91526.1],[gene=infA],[protein=translation initiation factor IF-1],[locus_tag=PMM1151],[protein_id=CAE19610.1],[gene=infA],[protein=translation initiation factor IF-1],[evalue=5.37186E-51]
[locus_tag=SynWH8103_00786],[protein_id=CRY91527.1],[gene=trxB],[protein=Thioredoxin reductase fused with a thioredoxin domain (large NTR System or NTRC)],[locus_tag=PMM1150],[protein_id=CAE19609.1],[gene=None],[protein=putative thioredoxin reductase],[evalue=0.00000E+00],[locus_tag=PMM0211],[protein_id=CAE18670.1],[gene=trxB],[protein=FAD-dependent pyridine nucleotide-disulphide oxidoreductase],[evalue=2.59305E-43],[locus_tag=PMM1061],[protein_id=CAE19520.1],[gene=trxA],[protein=Thioredoxin],[evalue=1.74767E-09]
