[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[evalue=5.02794E-142]
[locus_tag=PMM0274],[protein_id=CAE18733.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0230],[protein_id=AHF62642.1],[gene=None],[protein=hypothetical protein],[evalue=8.19235E-159]
[locus_tag=PMM0275],[protein_id=CAE18734.1],[gene=pyrE],[protein=Orotate phosphoribosyltransferase],[locus_tag=Syncc8109_0226],[protein_id=AHF62639.1],[gene=pyrE],[protein=orotate phosphoribosyltransferase],[evalue=1.06553E-63]
[locus_tag=PMM0276],[protein_id=CAE18735.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0225],[protein_id=AHF62638.1],[gene=None],[protein=hypothetical protein],[evalue=2.25674E-40]
[locus_tag=PMM0277],[protein_id=CAE18736.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0224],[protein_id=AHF62637.1],[gene=None],[protein=hypothetical protein],[evalue=5.69618E-109]
[locus_tag=PMM0278],[protein_id=CAE18737.1],[gene=None],[protein=Phosphotransferase superclass],[locus_tag=Syncc8109_0223],[protein_id=AHF62636.1],[gene=None],[protein=phosphoglucomutase/phosphomannomutase family protein],[evalue=1.44111E-166],[locus_tag=Syncc8109_2381],[protein_id=AHF64698.1],[gene=pgm],[protein=phosphoglucomutase],[evalue=1.27368E-22],[locus_tag=Syncc8109_0276],[protein_id=AHF62687.1],[gene=None],[protein=phosphoglucosamine mutase],[evalue=5.76784E-17]
[locus_tag=PMM0279],[protein_id=CAE18738.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0222],[protein_id=AHF62635.1],[gene=None],[protein=Ham1-like protein],[evalue=2.33627E-57],[locus_tag=Syncc8109_1957],[protein_id=AHF64301.1],[gene=ham1],[protein=Ham1 protein-like protein],[evalue=5.38356E-37]
[locus_tag=PMM0280],[protein_id=CAE18739.1],[gene=None],[protein=Retinal pigment epithelial membrane protein],[locus_tag=Syncc8109_0214],[protein_id=AHF62629.1],[gene=None],"[protein=lignostilbene-alpha,beta-dioxygenase-related enzyme]",[evalue=0.00000E+00]
[locus_tag=PMM0281],[protein_id=CAE18740.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[locus_tag=Syncc8109_0213],[protein_id=AHF62628.1],[gene=hisB],[protein=Imidazoleglycerol-phosphate dehydratase],[evalue=4.05550E-110]
[locus_tag=PMM0282],[protein_id=CAE18741.1],[gene=fabI],[protein=enoyl-[acyl-carrier-protein],[locus_tag=Syncc8109_0212],[protein_id=AHF62627.1],[gene=fabI],[protein=enoyl-(acyl-carrier-protein) reductase],[evalue=1.94921E-166]
[locus_tag=PMM0283],[protein_id=CAE18742.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0207],[protein_id=AHF62622.1],[gene=None],[protein=hypothetical protein],[evalue=2.06692E-66]
[locus_tag=PMM0284],[protein_id=CAE18743.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[locus_tag=Syncc8109_0206],[protein_id=AHF62621.1],[gene=degT],[protein=putative pleiotropic regulatory protein],[evalue=7.02002E-155]
[locus_tag=PMM0285],[protein_id=CAE18744.1],[gene=phr],[protein=putative DNA photolyase],[locus_tag=Syncc8109_0205],[protein_id=AHF62620.1],[gene=None],[protein=Deoxyribodipyrimidine photolyase],[evalue=5.76102E-177],[locus_tag=Syncc8109_1994],[protein_id=AHF64338.1],[gene=None],[protein=Deoxyribodipyrimidine photolyase],[evalue=1.90584E-21],[locus_tag=Syncc8109_0211],[protein_id=AHF62626.1],[gene=None],[protein=putative deoxyribodipyrimidine photolyase],[evalue=1.08245E-17]
[locus_tag=PMM0286],[protein_id=CAE18745.1],[gene=None],[protein=NUDIX hydrolase],[locus_tag=Syncc8109_0204],[protein_id=AHF62619.1],[gene=None],[protein=NUDIX hydrolase],[evalue=2.62037E-72]
[locus_tag=PMM0288],[protein_id=CAE18747.1],[gene=chlD],"[protein=Protoporphyrin IX Magnesium chelatase, ChlD subunit]",[locus_tag=Syncc8109_0202],[protein_id=AHF62617.1],[gene=chlD],[protein=Magnesium chelatase ATPase subunit D],[evalue=0.00000E+00],[locus_tag=Syncc8109_2047],[protein_id=AHF64388.1],[gene=chlI],[protein=Magnesium chelatase ATPase subunit I],[evalue=1.39707E-57]
[locus_tag=PMM0289],[protein_id=CAE18748.1],[gene=None],[protein=possible ABC transporter],[locus_tag=Syncc8109_0201],[protein_id=AHF62616.1],[gene=None],[protein=putative ABC transporter],[evalue=2.49906E-80]
[locus_tag=PMM0290],[protein_id=CAE18749.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[locus_tag=Syncc8109_0200],[protein_id=AHF62615.1],[gene=None],[protein=ATPase],[evalue=7.21440E-120],[locus_tag=Syncc8109_1444],[protein_id=AHF63806.1],[gene=None],[protein=ATPase],[evalue=9.96217E-29],[locus_tag=Syncc8109_0880],[protein_id=AHF63257.1],[gene=glnQ],[protein=ATPase],[evalue=9.96614E-28]
[locus_tag=PMM0291],[protein_id=CAE18750.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0199],[protein_id=AHF62614.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0292],[protein_id=CAE18751.1],[gene=ndhJ],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=Syncc8109_0198],[protein_id=AHF62613.1],[gene=ndhJ],[protein=NADH dehydrogenase I chain J],[evalue=2.76143E-69]
[locus_tag=PMM0293],[protein_id=CAE18752.1],[gene=ndhK],[protein=putative respiratory-chain NADH dehydrogenase subunit],[locus_tag=Syncc8109_0197],[protein_id=AHF62612.1],[gene=ndhK],"[protein=NADH-quinone oxidoreductase, B subunit]",[evalue=1.25031E-137]
[locus_tag=PMM0294],[protein_id=CAE18753.1],[gene=ndhC],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 3)],[locus_tag=Syncc8109_0196],[protein_id=AHF62611.1],[gene=ndhC],[protein=putative NADH dehydrogenase subunit],[evalue=6.54322E-75]
[locus_tag=PMM0295],[protein_id=CAE18754.1],[gene=rub],[protein=probable rubredoxin],[locus_tag=Syncc8109_0195],[protein_id=AHF62610.1],[gene=rub],[protein=putative rubredoxin],[evalue=4.45950E-42]
[locus_tag=PMM0296],[protein_id=CAE18755.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0194],[protein_id=AHF62609.1],[gene=None],[protein=photosystem II stability/assembly factor-like protein],[evalue=2.24710E-136]
[locus_tag=PMM0297],[protein_id=CAE18756.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit],[locus_tag=Syncc8109_0193],[protein_id=AHF62608.1],[gene=psbE],"[protein=cytochrome b559, alpha subunit]",[evalue=5.24377E-52]
[locus_tag=PMM0298],[protein_id=CAE18757.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit],[locus_tag=Syncc8109_0192],[protein_id=AHF62607.1],[gene=psbF],"[protein=Cytochrome b559, beta subunit]",[evalue=1.66415E-18]
[locus_tag=PMM0299],[protein_id=CAE18758.1],[gene=psbL],[protein=photosystem II PsbL protein],[locus_tag=Syncc8109_0191],[protein_id=AHF62606.1],[gene=psbL],[protein=photosystem II reaction center L protein],[evalue=1.47515E-15]
[locus_tag=PMM0300],[protein_id=CAE18759.1],[gene=psbJ],[protein=photosytem II PsbJ protein],[locus_tag=Syncc8109_0190],[protein_id=AHF62605.1],[gene=psbJ],[protein=putative photosystem II reaction center J protein],[evalue=5.41987E-32]
[locus_tag=PMM0301],[protein_id=CAE18760.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase],[locus_tag=Syncc8109_1272],[protein_id=AHF63639.1],[gene=mtaP],[protein=Methylthioadenosine phosphorylase],[evalue=1.84248E-136]
[locus_tag=PMM0302],[protein_id=CAE18761.1],[gene=selD],"[protein=Selenide,water dikinase]",[locus_tag=Syncc8109_0184],[protein_id=AHF62599.1],[gene=None],"[protein=Selenide,water dikinase]",[evalue=5.13621E-165]
[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[locus_tag=Syncc8109_0180],[protein_id=AHF62598.1],[gene=None],[protein=putative polyA polymerase],[evalue=1.86304E-84]
[locus_tag=PMM0304],[protein_id=CAE18763.1],[gene=uvrD],[protein=UvrD/REP helicase],[locus_tag=Syncc8109_0179],[protein_id=AHF62597.1],[gene=pcrA],[protein=ATP-dependent DNA helicase PcrA],[evalue=0.00000E+00]
[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[locus_tag=Syncc8109_0444],[protein_id=AHF62844.1],[gene=cpeB],[protein=C-phycoerythrin class I beta chain],[evalue=1.58075E-40],[locus_tag=Syncc8109_0461],[protein_id=AHF62861.1],[gene=mpeB],[protein=C-phycoerythrin class II beta chain],[evalue=5.30409E-34],[locus_tag=Syncc8109_0439],[protein_id=AHF62839.1],[gene=rpcB],"[protein=phycocyanin, beta subunit]",[evalue=7.82586E-23]
[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog],[locus_tag=Syncc8109_2371],[protein_id=AHF64690.1],[gene=None],[protein=hypothetical protein],[evalue=5.77622E-20],[locus_tag=Syncc8109_0442],[protein_id=AHF62842.1],[gene=None],[protein=hypothetical protein],[evalue=2.70847E-11]
[locus_tag=PMM0308],[protein_id=CAE18767.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0474],[protein_id=AHF62874.1],[gene=None],[protein=hypothetical protein],[evalue=1.35652E-85]
[locus_tag=PMM0309],[protein_id=CAE18768.1],[gene=None],[protein=possible Pollen allergen],[locus_tag=Syncc8109_0822],[protein_id=AHF63200.1],[gene=None],[protein=hypothetical protein],[evalue=1.09550E-16]
[locus_tag=PMM0310],[protein_id=CAE18769.1],[gene=None],"[protein=Carbohydrate kinase, FGGY family]",[locus_tag=Syncc8109_0498],[protein_id=AHF62897.1],[gene=None],"[protein=carbohydrate kinase, FGGY family]",[evalue=1.00081E-138]
[locus_tag=PMM0311],[protein_id=CAE18770.1],[gene=metK],[protein=S-adenosylmethionine synthetase],[locus_tag=Syncc8109_0499],[protein_id=AHF62898.1],[gene=metK],[protein=S-adenosylmethionine synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[locus_tag=Syncc8109_0501],[protein_id=AHF62900.1],[gene=rps1a],[protein=RNA binding S1],[evalue=0.00000E+00],[locus_tag=Syncc8109_1978],[protein_id=AHF64322.1],[gene=rps1b],[protein=RNA binding S1],[evalue=2.07451E-62]
[locus_tag=PMM0313],[protein_id=CAE18772.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0502],[protein_id=AHF62901.1],[gene=nrdR],[protein=transcriptional regulator NrdR],[evalue=1.81164E-65]
[locus_tag=PMM0314],[protein_id=CAE18773.1],[gene=psbT],[protein=Photosystem II PsbT protein],[locus_tag=Syncc8109_0503],[protein_id=AHF62902.1],[gene=psbT],[protein=photosystem II reaction center T protein],[evalue=9.79692E-14]
[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=Photosystem II PsbB protein (CP47)],[locus_tag=Syncc8109_0504],[protein_id=AHF62903.1],[gene=psbB],[protein=photosystem II chlorophyll-binding protein CP47],[evalue=0.00000E+00],[locus_tag=Syncc8109_1040],[protein_id=AHF63412.1],[gene=pcbD],[protein=chlorophyll a/b binding light harvesting protein PcbD],[evalue=6.30874E-12]
[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin],[locus_tag=Syncc8109_0505],[protein_id=AHF62904.1],[gene=None],[protein=putative ferredoxin (2Fe-2S)],[evalue=1.17687E-42],[locus_tag=Syncc8109_0766],[protein_id=AHF63146.1],[gene=fdx],[protein=putative ferredoxin (2Fe-2S)],[evalue=2.37857E-21]
[locus_tag=PMM0318],[protein_id=CAE18777.1],[gene=hemK],[protein=putative protein methyltransferase],[locus_tag=Syncc8109_0515],[protein_id=AHF62911.1],[gene=hemK],"[protein=modification methylase, HemK family]",[evalue=1.72102E-74]
[locus_tag=PMM0319],[protein_id=CAE18778.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0516],[protein_id=AHF62912.1],[gene=None],[protein=hypothetical protein],[evalue=2.90894E-44]
[locus_tag=PMM0320],[protein_id=CAE18779.1],[gene=minE],[protein=possible septum site-determining protein MinE],[locus_tag=Syncc8109_0520],[protein_id=AHF62915.1],[gene=minE],[protein=cell division topological specificity factor MinE],[evalue=2.63046E-37]
[locus_tag=PMM0321],[protein_id=CAE18780.1],[gene=minD],[protein=putative septum site-determining protein MinD],[locus_tag=Syncc8109_0521],[protein_id=AHF62916.1],[gene=minD],[protein=septum site-determining protein MinD],[evalue=1.72101E-140]
[locus_tag=PMM0322],[protein_id=CAE18781.1],[gene=minC],[protein=possible septum site-determining protein],[locus_tag=Syncc8109_0522],[protein_id=AHF62917.1],[gene=minC],[protein=putative septum site-determining protein],[evalue=1.75342E-32]
[locus_tag=PMM0323],[protein_id=CAE18782.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0523],[protein_id=AHF62918.1],[gene=None],[protein=metal dependent phosphohydrolase],[evalue=2.15671E-140]
[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor],[locus_tag=Syncc8109_0524],[protein_id=AHF62919.1],[gene=ctpA],[protein=carboxyl-terminal protease],[evalue=1.98938E-159],[locus_tag=Syncc8109_1389],[protein_id=AHF63752.1],[gene=None],[protein=carboxyl-terminal protease],[evalue=3.29474E-79]
[locus_tag=PMM0325],[protein_id=CAE18784.1],[gene=petB],[protein=Cytochrome b6],[locus_tag=Syncc8109_0525],[protein_id=AHF62920.1],[gene=petB],[protein=apocytochrome b6],[evalue=2.95633E-153]
[locus_tag=PMM0326],[protein_id=CAE18785.1],[gene=petD],[protein=PetD protein (subunit IV of the Cytochrome b6f complex)],[locus_tag=Syncc8109_0526],[protein_id=AHF62921.1],[gene=petD],[protein=cytochrome b6-f complex subunit 4 (17 kd polypeptide)],[evalue=8.21652E-105]
[locus_tag=PMM0327],[protein_id=CAE18786.1],[gene=None],[protein=putative neutral invertase-like protein],[locus_tag=Syncc8109_0527],[protein_id=AHF62922.1],[gene=invA],[protein=putative neutral invertase-like protein],[evalue=0.00000E+00]
[locus_tag=PMM0328],[protein_id=CAE18787.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)],[locus_tag=Syncc8109_0539],[protein_id=AHF62928.1],[gene=None],[protein=formamidopyrimidine-DNA glycosylase],[evalue=2.37166E-115]
[locus_tag=PMM0329],[protein_id=CAE18788.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)],[locus_tag=Syncc8109_0540],[protein_id=AHF62929.1],[gene=psaE],[protein=photosystem I subunit IV (PsaE)],[evalue=2.75774E-35]
[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[locus_tag=Syncc8109_0543],[protein_id=AHF62932.1],[gene=lysM],[protein=Peptidoglycan-binding LysM],[evalue=4.67623E-27],[locus_tag=Syncc8109_0543],[protein_id=AHF62932.1],[gene=lysM],[protein=Peptidoglycan-binding LysM],[evalue=4.84611E-12]
[locus_tag=PMM0331],[protein_id=CAE18790.1],[gene=None],[protein=Putative aldehyde dehydrogenase],[locus_tag=Syncc8109_0544],[protein_id=AHF62933.1],[gene=None],[protein=putative aldehyde dehydrogenase],[evalue=1.24665E-146]
[locus_tag=PMM0333],[protein_id=CAE18792.1],[gene=rimI],[protein=GCN5-related N-acetyltransferase],[locus_tag=Syncc8109_1072],[protein_id=AHF63443.1],[gene=rimI],[protein=putative ribosomal-protein-alanine acetyltransferase],[evalue=2.51914E-85]
[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_2201],[protein_id=AHF64530.1],[gene=None],[protein=hypothetical protein],[evalue=1.68561E-15]
[locus_tag=PMM0336],[protein_id=CAE18795.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1706],[protein_id=AHF64062.1],[gene=None],[protein=plastoquinol terminal oxidase],[evalue=1.74105E-15]
[locus_tag=PMM0337],[protein_id=CAE18796.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0579],[protein_id=AHF62966.1],[gene=None],[protein=hypothetical protein],[evalue=3.72067E-18]
[locus_tag=PMM0338],[protein_id=CAE18797.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2643],[protein_id=AHF64950.1],[gene=None],[protein=hypothetical protein],[evalue=2.56050E-26]
[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase],[locus_tag=Syncc8109_1998],[protein_id=AHF64342.1],[gene=None],[protein=hypothetical protein],[evalue=0.00000E+00],[locus_tag=Syncc8109_0960],[protein_id=AHF63334.1],[gene=crtH],[protein=carotenoid isomerase],[evalue=6.80001E-53]
[locus_tag=PMM0340],[protein_id=CAE18799.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1181],[protein_id=AHF63551.1],[gene=None],[protein=hypothetical protein],[evalue=8.97842E-27]
[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_2291],[protein_id=AHF64617.1],[gene=None],[protein=hypothetical protein],[evalue=1.79966E-18]
[locus_tag=PMM0343],[protein_id=CAE18802.1],[gene=None],[protein=mttA/Hcf106 family],[locus_tag=Syncc8109_0263],[protein_id=AHF62674.1],[gene=tatA],"[protein=twin-arginine translocation protein, TatA/E family]",[evalue=1.49071E-25]
[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[locus_tag=Syncc8109_1547],[protein_id=AHF63907.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[evalue=7.06741E-58],[locus_tag=Syncc8109_2389],[protein_id=AHF64706.1],[gene=bcp],[protein=putative bacterioferritin comigratory (BCP) protein],[evalue=8.86697E-28],[locus_tag=Syncc8109_1257],[protein_id=AHF63625.1],[gene=None],[protein=Twin-arginine translocation pathway signal],[evalue=3.75224E-16]
[locus_tag=PMM0346],[protein_id=CAE18805.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1304],[protein_id=AHF63671.1],[gene=None],[protein=hypothetical protein],[evalue=3.35375E-41]
[locus_tag=PMM0347],[protein_id=CAE18806.1],[gene=None],[protein=conserved hypothetical],[locus_tag=Syncc8109_1204],[protein_id=AHF63574.1],[gene=None],[protein=hypothetical protein],[evalue=1.20726E-26]
[locus_tag=PMM0349],[protein_id=CAE18808.1],[gene=None],[protein=Class I peptide chain release factor],[locus_tag=Syncc8109_2652],[protein_id=AHF64958.1],[gene=None],[protein=hypothetical protein],[evalue=2.25076E-44]
[locus_tag=PMM0352],[protein_id=CAE18811.1],[gene=None],[protein=Abortive infection protein],[locus_tag=Syncc8109_0314],[protein_id=AHF62723.1],[gene=None],[protein=hypothetical protein],[evalue=2.46447E-31]
[locus_tag=PMM0360],[protein_id=CAE18819.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0310],[protein_id=AHF62719.1],[gene=None],[protein=hypothetical protein],[evalue=2.80364E-45]
[locus_tag=PMM0364],[protein_id=CAE18823.1],[gene=None],[protein=possible Malic enzyme],[locus_tag=Syncc8109_1138],[protein_id=AHF63509.1],[gene=None],[protein=hypothetical protein],[evalue=6.38396E-12]
[locus_tag=PMM0367],[protein_id=CAE18826.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1080],[protein_id=AHF63451.1],[gene=None],[protein=hypothetical protein],[evalue=4.45349E-57]
[locus_tag=PMM0368],[protein_id=CAE18827.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_1138],[protein_id=AHF63509.1],[gene=None],[protein=hypothetical protein],[evalue=3.93707E-26]
[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[locus_tag=Syncc8109_1461],[protein_id=AHF63823.1],[gene=None],[protein=ATPase],[evalue=3.56010E-40],[locus_tag=Syncc8109_0562],[protein_id=AHF62949.1],[gene=None],[protein=ATPase],[evalue=2.18347E-38],[locus_tag=Syncc8109_1252],[protein_id=AHF63620.1],[gene=None],[protein=ATPase],[evalue=2.10422E-36]
[locus_tag=PMM0373],[protein_id=CAE18832.1],[gene=cynS],[protein=Cyanate lyase],[locus_tag=Syncc8109_2727],[protein_id=AHF65033.1],[gene=cynS],[protein=Cyanase],[evalue=2.37782E-70]
[locus_tag=PMM0374],[protein_id=CAE18833.1],[gene=None],[protein=mttA/Hcf106 family],[locus_tag=Syncc8109_0263],[protein_id=AHF62674.1],[gene=tatA],"[protein=twin-arginine translocation protein, TatA/E family]",[evalue=5.90662E-27]
[locus_tag=PMM0378],[protein_id=CAE18837.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=Syncc8109_0589],[protein_id=AHF62976.1],[gene=None],[protein=hypothetical protein],[evalue=2.33942E-37]
[locus_tag=PMM0387],[protein_id=CAE18846.1],[gene=aroD],[protein=Dehydroquinase class II],[locus_tag=Syncc8109_0554],[protein_id=AHF62941.1],[gene=aroQ],"[protein=3-dehydroquinate dehydratase, type II]",[evalue=2.05362E-52]
