[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]"
[locus_tag=PMM1642],[protein_id=CAE20101.1],[gene=None],[protein=possible transcription regulator]
[locus_tag=PMM1643],[protein_id=CAE20102.1],[gene=ribH],"[protein=Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain]"
[locus_tag=PMM1645],[protein_id=CAE20104.1],"[gene=mutS,fdv]",[protein=putative DNA mismatch repair protein]
[locus_tag=PMM1646],[protein_id=CAE20105.1],[gene=cobH],[protein=putative Precorrin-8X methylmutase CobH]
[locus_tag=PMM1647],[protein_id=CAE20106.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1648],[protein_id=CAE20107.1],[gene=lysC],[protein=Aspartate kinase]
[locus_tag=PMM1649],[protein_id=CAE20108.1],[gene=uvrB],[protein=Excinuclease ABC subunit B (UvrB)]
[locus_tag=PMM1650],[protein_id=CAE20109.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1651],[protein_id=CAE20110.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1652],[protein_id=CAE20111.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1653],[protein_id=CAE20112.1],[gene=dapA],[protein=Dihydrodipicolinate synthetase]
[locus_tag=PMM1654],[protein_id=CAE20113.1],[gene=asd],[protein=aspartate Semialdehyde dehydrogenase]
[locus_tag=PMM1655],[protein_id=CAE20114.1],[gene=None],[protein=FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase)]
[locus_tag=PMM1656],[protein_id=CAE20115.1],[gene=clpP2],[protein=Clp protease proteolytic subunit]
[locus_tag=PMM1657],[protein_id=CAE20116.1],[gene=clpX],"[protein=Clp protease ATP-binding subunit, ClpX]"
[locus_tag=PMM1658],[protein_id=CAE20117.1],[gene=dnaX],"[protein=DNA polymerase, gamma and tau subunits]"
[locus_tag=PMM1659],[protein_id=CAE20118.1],[gene=None],"[protein=Glycosyl transferase, family 2]"
[locus_tag=PMM1660],[protein_id=CAE20119.1],[gene=None],[protein=possible amidase enhancer]
[locus_tag=PMM1661],[protein_id=CAE20120.1],"[gene=rpl35, rpmI]",[protein=50S ribosomal protein L35]
[locus_tag=PMM1662],[protein_id=CAE20121.1],"[gene=rpl20, rplT]",[protein=50S ribosomal protein L20]
[locus_tag=PMM1663],[protein_id=CAE20122.1],[gene=None],[protein=putative photosystem I assembly related protein Ycf37]
[locus_tag=PMM1664],[protein_id=CAE20123.1],[gene=thiG],[protein=thiamin biosynthesis protein]
[locus_tag=PMM1665],[protein_id=CAE20124.1],[gene=sqdB],[protein=sulfolipid (UDP-sulfoquinovose) biosynthesis protein]
[locus_tag=PMM1666],[protein_id=CAE20125.1],[gene=sqdX],[protein=SqdX]
[locus_tag=PMM1668],[protein_id=CAE20127.1],[gene=gcvP],[protein=Glycine cleavage system P-protein]
[locus_tag=PMM1669],[protein_id=CAE20128.1],"[gene=gcsH, gcvH]",[protein=putative Glycine cleavage H-protein]
[locus_tag=PMM1670],[protein_id=CAE20129.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1672],[protein_id=CAE20131.1],[gene=des9],"[protein=Fatty acid desaturase, type 1]"
[locus_tag=PMM1673],[protein_id=CAE20132.1],"[gene=rpl9, rplI]",[protein=50S ribosomal protein L9]
[locus_tag=PMM1674],[protein_id=CAE20133.1],[gene=dnaB],[protein=DnaB replicative helicase]
[locus_tag=PMM1675],[protein_id=CAE20134.1],[gene=None],[protein=Glucose inhibited division protein A]
[locus_tag=PMM1676],[protein_id=CAE20135.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM2019],[protein_id=CAP16524.1],[gene=None],[protein=Conserved hypothetical protein]
[locus_tag=PMM1677],[protein_id=CAE20136.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1678],[protein_id=CAE20137.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1681],[protein_id=CAE20140.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1682],[protein_id=CAE20141.1],[gene=valS],[protein=Valyl-tRNA synthetase]
[locus_tag=PMM1683],[protein_id=CAE20142.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1684],[protein_id=CAE20143.1],[gene=None],[protein=MazG family protein]
[locus_tag=PMM1685],[protein_id=CAE20144.1],[gene=speE],[protein=putative spermidine synthase]
[locus_tag=PMM1686],[protein_id=CAE20145.1],[gene=None],[protein=Arginase family]
[locus_tag=PMM1687],[protein_id=CAE20146.1],[gene=gcvT],[protein=putative Glycine cleavage T-protein (aminomethyl transferase)]
[locus_tag=PMM1688],[protein_id=CAE20147.1],[gene=aspS],[protein=Aspartyl-tRNA synthetase]
[locus_tag=PMM1689],[protein_id=CAE20148.1],[gene=pyrG],[protein=Glutamine amidotransferase class-I:CTP synthase]
[locus_tag=PMM1690],[protein_id=CAE20149.1],[gene=None],[protein=possible organic radical activating enzyme]
[locus_tag=PMM1691],[protein_id=CAE20150.1],[gene=None],[protein=hypothetical ATPase]
[locus_tag=PMM1692],[protein_id=CAE20151.1],[gene=None],[protein=possible p-aminobenzoate synthetase]
[locus_tag=PMM1693],[protein_id=CAE20152.1],[gene=None],[protein=Aminotransferases class-IV]
[locus_tag=PMM1694],[protein_id=CAE20153.1],[gene=cobA],[protein=putative uroporphyrin-III C-methyltransferase]
[locus_tag=PMM1695],[protein_id=CAE20154.1],[gene=None],"[protein=multidrug efflux transporter, MFS family]"
[locus_tag=PMM1696],[protein_id=CAE20155.1],[gene=ppk],[protein=putative Polyphosphate kinase]
[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]"
[locus_tag=PMM1698],[protein_id=CAE20157.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1699],[protein_id=CAE20158.1],[gene=aroF],[protein=DAHP synthetase class I]
[locus_tag=PMM1700],[protein_id=CAE20159.1],[gene=acnB],[protein=Aconitate hydratase B]
[locus_tag=PMM1701],[protein_id=CAE20160.1],[gene=None],[protein=putative chloride channel]
[locus_tag=PMM1702],[protein_id=CAE20161.1],[gene=purU],[protein=formyltetrahydrofolate deformylase]
[locus_tag=PMM1703],[protein_id=CAE20162.1],[gene=None],[protein=NAD binding site:D-amino acid oxidase]
[locus_tag=PMM1704],[protein_id=CAE20163.1],[gene=dnaK2],"[protein=Molecular chaperone DnaK2, heat shock protein hsp70-2]"
[locus_tag=PMM1705],[protein_id=CAE20164.1],[gene=aroE],[protein=Shikimate / quinate 5-dehydrogenase]
[locus_tag=PMM1706],[protein_id=CAE20165.1],"[gene=rps6, rpsF]",[protein=30S ribosomal protein S6]
[locus_tag=PMM1707],[protein_id=CAE20166.1],[gene=argG],[protein=Argininosuccinate synthase]
[locus_tag=PMM1708],[protein_id=CAE20167.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1709],[protein_id=CAE20168.1],[gene=mraY],[protein=Putative phospho-N-acetylmuramoyl-pentapeptide-transferase]
[locus_tag=PMM1710],[protein_id=CAE20169.1],[gene=None],[protein=conserved hypothetical]
[locus_tag=PMM1711],[protein_id=CAE20170.1],[gene=sps],[protein=Sucrose phosphate synthase]
[locus_tag=PMM1712],[protein_id=CAE20171.1],[gene=uvrA],"[protein=Excinuclease ABC, A subunit, ATP/GTP-binding site motif A (P-loop):ABC transporter]"
[locus_tag=PMM1713],[protein_id=CAE20172.1],[gene=recN],"[protein=DNA REPAIR PROTEIN RECN, ABC transporter]"
[locus_tag=PMM1714],[protein_id=CAE20173.1],[gene=None],[protein=possible protein kinase:ABC1 family]
[locus_tag=PMM1715],[protein_id=CAE20174.1],[gene=None],[protein=conserved hypothetical protein]
[locus_tag=PMM1716],[protein_id=CAE20175.1],[gene=thrC],"[protein=Threonine synthase: Pyridoxal-5'-phosphate-dependent enzymes, beta family]"
