[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=SynWH7803_0001],[protein_id=CAK22427.1],[gene=dnaN],[protein=DNA polymerase III beta subunit],[evalue=1.10156E-156]
[locus_tag=PMM0294],[protein_id=CAE18753.1],[gene=ndhC],[protein=putative NADH Dehydrogenase (complex I) subunit (chain 3)],[locus_tag=SynWH7803_0252],[protein_id=CAK22678.1],[gene=ndhC],[protein=NAD(P)H-quinone oxidoreductase chain 3],[evalue=2.20807E-73]
[locus_tag=PMM0295],[protein_id=CAE18754.1],[gene=rub],[protein=probable rubredoxin],[locus_tag=SynWH7803_0251],[protein_id=CAK22677.1],[gene=rub],[protein=Rubredoxin],[evalue=2.45597E-47]
[locus_tag=PMM0296],[protein_id=CAE18755.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0250],[protein_id=CAK22676.1],[gene=None],[protein=Uncharacterized protein related to plant photosystem II stability/assembly factor],[evalue=1.93284E-133]
[locus_tag=PMM0297],[protein_id=CAE18756.1],[gene=psbE],[protein=Cytochrome b559 alpha-subunit],[locus_tag=SynWH7803_0249],[protein_id=CAK22675.1],[gene=psbE],[protein=Cytochrome b559 alpha subunit (PSII reaction center subunit V)],[evalue=2.23296E-50]
[locus_tag=PMM0298],[protein_id=CAE18757.1],[gene=psbF],[protein=Cytochrome b559 beta-subunit],[locus_tag=SynWH7803_0248],[protein_id=CAK22674.1],[gene=psbF],[protein=Cytochrome b559 beta subunit (PSII reaction center subunit VI)],[evalue=5.28356E-17]
[locus_tag=PMM0299],[protein_id=CAE18758.1],[gene=psbL],[protein=photosystem II PsbL protein],[locus_tag=SynWH7803_0247],[protein_id=CAK22673.1],[gene=psbL],[protein=Photosystem II protein reaction center L protein],[evalue=2.58868E-16]
[locus_tag=PMM0300],[protein_id=CAE18759.1],[gene=psbJ],[protein=photosytem II PsbJ protein],[locus_tag=SynWH7803_0246],[protein_id=CAK22672.1],[gene=psbJ],[protein=Photosystem II reaction center J protein],[evalue=2.84613E-33]
[locus_tag=PMM0301],[protein_id=CAE18760.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase],[locus_tag=SynWH7803_1250],[protein_id=CAK23676.1],[gene=None],[protein=5'-methylthioadenosine phosphorylase],[evalue=2.23319E-133]
[locus_tag=PMM0302],[protein_id=CAE18761.1],[gene=selD],"[protein=Selenide,water dikinase]",[locus_tag=SynWH7803_0241],[protein_id=CAK22667.1],[gene=None],[protein=Selenophosphate synthase fused with a FAD/NAD(P)-binding domain],[evalue=3.84737E-172]
[locus_tag=PMM0303],[protein_id=CAE18762.1],[gene=None],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[locus_tag=SynWH7803_0234],[protein_id=CAK22660.1],[gene=pcnB],[protein=tRNA nucleotidyltransferase/poly(A) polymerase],[evalue=3.28444E-75]
[locus_tag=PMM0304],[protein_id=CAE18763.1],[gene=uvrD],[protein=UvrD/REP helicase],[locus_tag=SynWH7803_0240],[protein_id=CAK22666.1],[gene=uvrD],[protein=UvrD/REP helicase],[evalue=0.00000E+00]
[locus_tag=PMM0305],[protein_id=CAE18764.1],[gene=cpeB],[protein=Phycobilisome protein],[locus_tag=SynWH7803_0485],[protein_id=CAK22911.1],[gene=cpeB],[protein=C-phycoerythrin class I beta chain],[evalue=4.70025E-39],[locus_tag=SynWH7803_0493],[protein_id=CAK22919.1],[gene=mpeB],[protein=C-phycoerythrin class II beta chain],[evalue=1.90844E-34],[locus_tag=SynWH7803_0480],[protein_id=CAK22906.1],[gene=rpcB],[protein=R-phycocyanin II beta chain],[evalue=1.00043E-21]
[locus_tag=PMM0306],[protein_id=CAE18765.1],[gene=cpeS],[protein=phycoerythrin linker protein CpeS homolog],[locus_tag=SynWH7803_0499],[protein_id=CAK22925.1],[gene=cpeS],"[protein=Conserved hypothetical protein, CpeS homolog, phycoerythrin linker gene region]",[evalue=8.63535E-37],[locus_tag=SynWH7803_2155],[protein_id=CAK24581.1],[gene=None],[protein=Putative phycoerythrin linker protein CpeS homolog],[evalue=1.04373E-15],[locus_tag=SynWH7803_0483],[protein_id=CAK22909.1],[gene=None],[protein=Conserved hypothetical protein in phycobilisome rod gene region],[evalue=9.26955E-12]
[locus_tag=PMM0308],[protein_id=CAE18767.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0603],[protein_id=CAK23029.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=1.90212E-64]
[locus_tag=PMM0309],[protein_id=CAE18768.1],[gene=None],[protein=possible Pollen allergen],[locus_tag=SynWH7803_1147],[protein_id=CAK23573.1],[gene=None],[protein=Conserved hypothetical with a signal peptdide],[evalue=1.17175E-14]
[locus_tag=PMM0310],[protein_id=CAE18769.1],[gene=None],"[protein=Carbohydrate kinase, FGGY family]",[locus_tag=SynWH7803_0512],[protein_id=CAK22938.1],[gene=None],[protein=Sugar kinase],[evalue=3.27518E-133]
[locus_tag=PMM0311],[protein_id=CAE18770.1],[gene=metK],[protein=S-adenosylmethionine synthetase],[locus_tag=SynWH7803_0513],[protein_id=CAK22939.1],[gene=metK],[protein=S-adenosylmethionine synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0312],[protein_id=CAE18771.1],"[gene=rps1a, rpsA1]","[protein=30S ribosomal protein S1, homolog A]",[locus_tag=SynWH7803_0515],[protein_id=CAK22941.1],[gene=rpsA],[protein=30S ribosomal protein S1],[evalue=0.00000E+00],[locus_tag=SynWH7803_0652],[protein_id=CAK23078.1],[gene=rpsA],[protein=30S ribosomal protein S1],[evalue=9.25140E-63]
[locus_tag=PMM0313],[protein_id=CAE18772.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0516],[protein_id=CAK22942.1],[gene=None],[protein=Possible transcriptional regulator],[evalue=2.39605E-58]
[locus_tag=PMM0314],[protein_id=CAE18773.1],[gene=psbT],[protein=Photosystem II PsbT protein],[locus_tag=SynWH7803_0517],[protein_id=CAK22943.1],[gene=psbT],[protein=Photosystem II reaction center T protein],[evalue=1.53140E-13]
[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=Photosystem II PsbB protein (CP47)],[locus_tag=SynWH7803_0518],[protein_id=CAK22944.1],[gene=psbB],[protein=Photosystem II P680 chlorophyll A apoprotein (CP-47 protein)],[evalue=0.00000E+00]
[locus_tag=PMM0316],[protein_id=CAE18775.1],[gene=None],[protein=possible ferredoxin],[locus_tag=SynWH7803_0519],[protein_id=CAK22945.1],[gene=None],[protein=Ferredoxin],[evalue=1.45233E-46],[locus_tag=SynWH7803_0625],[protein_id=CAK23051.1],[gene=None],[protein=Ferredoxin],[evalue=1.66497E-23]
[locus_tag=PMM0318],[protein_id=CAE18777.1],[gene=hemK],[protein=putative protein methyltransferase],[locus_tag=SynWH7803_0524],[protein_id=CAK22950.1],[gene=hemK],[protein=Protoporphyrinogen oxidase],[evalue=2.29670E-68]
[locus_tag=PMM0319],[protein_id=CAE18778.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0525],[protein_id=CAK22951.1],[gene=None],[protein=Possible translation factor],[evalue=3.68267E-38]
[locus_tag=PMM0320],[protein_id=CAE18779.1],[gene=minE],[protein=possible septum site-determining protein MinE],[locus_tag=SynWH7803_0528],[protein_id=CAK22954.1],[gene=minE],[protein=Cell division topological specificity factor],[evalue=1.93397E-39]
[locus_tag=PMM0321],[protein_id=CAE18780.1],[gene=minD],[protein=putative septum site-determining protein MinD],[locus_tag=SynWH7803_0529],[protein_id=CAK22955.1],[gene=minD],[protein=Septum site-determining protein MinD],[evalue=9.04044E-135]
[locus_tag=PMM0322],[protein_id=CAE18781.1],[gene=minC],[protein=possible septum site-determining protein],[locus_tag=SynWH7803_0530],[protein_id=CAK22956.1],[gene=minC],[protein=Septum site-determining protein MinC],[evalue=2.37491E-33]
[locus_tag=PMM0323],[protein_id=CAE18782.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0531],[protein_id=CAK22957.1],[gene=None],[protein=HD superfamily phosphohydrolase],[evalue=1.53082E-142]
[locus_tag=PMM0324],[protein_id=CAE18783.1],[gene=ctpA],[protein=carboxyl-terminal processing proteinase precursor],[locus_tag=SynWH7803_0532],[protein_id=CAK22958.1],[gene=ctp],[protein=Carboxyl-terminal processing protease],[evalue=3.75066E-165],[locus_tag=SynWH7803_1476],[protein_id=CAK23902.1],[gene=ctpA],[protein=Carboxyl-terminal processing protease],[evalue=3.29049E-79]
[locus_tag=PMM0325],[protein_id=CAE18784.1],[gene=petB],[protein=Cytochrome b6],[locus_tag=SynWH7803_0533],[protein_id=CAK22959.1],[gene=petB],[protein=Cytochrome b6],[evalue=3.66394E-154]
[locus_tag=PMM0326],[protein_id=CAE18785.1],[gene=petD],[protein=PetD protein (subunit IV of the Cytochrome b6f complex)],[locus_tag=SynWH7803_0534],[protein_id=CAK22960.1],[gene=petD],[protein=Cytochrome b6-f complex subunit 4],[evalue=9.89487E-98]
[locus_tag=PMM0327],[protein_id=CAE18786.1],[gene=None],[protein=putative neutral invertase-like protein],[locus_tag=SynWH7803_0536],[protein_id=CAK22962.1],[gene=None],[protein=Neutral invertase-like protein],[evalue=0.00000E+00]
[locus_tag=PMM0328],[protein_id=CAE18787.1],[gene=FPG],[protein=Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase)],[locus_tag=SynWH7803_0539],[protein_id=CAK22965.1],[gene=mutM],[protein=Formamidopyrimidine-DNA glycosylase],[evalue=1.27757E-115]
[locus_tag=PMM0329],[protein_id=CAE18788.1],[gene=psaE],[protein=Photosystem I PsaE protein (subunit IV)],[locus_tag=SynWH7803_0540],[protein_id=CAK22966.1],[gene=psaE],[protein=Photosystem I reaction centre subunit IV],[evalue=4.72678E-40]
[locus_tag=PMM0330],[protein_id=CAE18789.1],[gene=None],[protein=possible LysM domain],[locus_tag=SynWH7803_0543],[protein_id=CAK22969.1],[gene=None],[protein=LysM-repeat protein],[evalue=2.20229E-15]
[locus_tag=PMM0331],[protein_id=CAE18790.1],[gene=None],[protein=Putative aldehyde dehydrogenase],[locus_tag=SynWH7803_0544],[protein_id=CAK22970.1],[gene=None],[protein=Aldehyde dehydrogenase],[evalue=9.18765E-145]
[locus_tag=PMM0334],[protein_id=CAE18793.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1500],[protein_id=CAK23926.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.57283E-17]
[locus_tag=PMM0338],[protein_id=CAE18797.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_0840],[protein_id=CAK23266.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=3.93358E-26]
[locus_tag=PMM0339],[protein_id=CAE18798.1],[gene=T8L23.23],[protein=Bacterial-type phytoene dehydrogenase],[locus_tag=SynWH7803_0804],[protein_id=CAK23230.1],[gene=None],[protein=Carotenoid isomerase],[evalue=0.00000E+00],[locus_tag=SynWH7803_1380],[protein_id=CAK23806.1],[gene=crtH],[protein=Carotenoid isomerase],[evalue=3.75949E-54]
[locus_tag=PMM0340],[protein_id=CAE18799.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0818],[protein_id=CAK23244.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.48441E-33]
[locus_tag=PMM0341],[protein_id=CAE18800.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_0939],[protein_id=CAK23365.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.99721E-20]
[locus_tag=PMM0343],[protein_id=CAE18802.1],[gene=None],[protein=mttA/Hcf106 family],[locus_tag=SynWH7803_0314],[protein_id=CAK22740.1],[gene=None],[protein=Sec-independent protein translocase protein TatA],[evalue=5.22017E-25]
[locus_tag=PMM0345],[protein_id=CAE18804.1],[gene=None],[protein=putative bacterioferritin comigratory protein],[locus_tag=SynWH7803_1042],[protein_id=CAK23468.1],[gene=None],[protein=Peroxiredoxin],[evalue=3.14216E-53],[locus_tag=SynWH7803_2172],[protein_id=CAK24598.1],[gene=bcp],[protein=Peroxiredoxin],[evalue=4.39463E-24],[locus_tag=SynWH7803_1236],[protein_id=CAK23662.1],[gene=ccp],[protein=Peroxiredoxin],[evalue=1.98910E-16]
[locus_tag=PMM0346],[protein_id=CAE18805.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_1278],[protein_id=CAK23704.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.24354E-37]
[locus_tag=PMM0347],[protein_id=CAE18806.1],[gene=None],[protein=conserved hypothetical],[locus_tag=SynWH7803_0958],[protein_id=CAK23384.1],[gene=None],[protein=Uncharacterized conserved membrane protein],[evalue=7.06263E-24]
[locus_tag=PMM0349],[protein_id=CAE18808.1],[gene=None],[protein=Class I peptide chain release factor],[locus_tag=SynWH7803_2451],[protein_id=CAK24877.1],[gene=None],[protein=Protein chain release factor B],[evalue=3.27395E-45]
[locus_tag=PMM0352],[protein_id=CAE18811.1],[gene=None],[protein=Abortive infection protein],[locus_tag=SynWH7803_0368],[protein_id=CAK22794.1],[gene=None],[protein=CAAX amino terminal protease family],[evalue=2.07872E-50]
[locus_tag=PMM0360],[protein_id=CAE18819.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0359],[protein_id=CAK22785.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.28393E-53]
[locus_tag=PMM0364],[protein_id=CAE18823.1],[gene=None],[protein=possible Malic enzyme],[locus_tag=SynWH7803_0829],[protein_id=CAK23255.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.43140E-21]
[locus_tag=PMM0367],[protein_id=CAE18826.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0861],[protein_id=CAK23287.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.75539E-59]
[locus_tag=PMM0368],[protein_id=CAE18827.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0829],[protein_id=CAK23255.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=6.38141E-17]
[locus_tag=PMM0372],[protein_id=CAE18831.1],[gene=None],[protein=putative cyanate ABC transporter],[locus_tag=SynWH7803_2433],[protein_id=CAK24859.1],[gene=tauB],"[protein=ABC-type anion transport system for nitrate/sulfonate/bicarbonate, ATPase component]",[evalue=2.53729E-58],[locus_tag=SynWH7803_0362],[protein_id=CAK22788.1],[gene=proV],[protein=ABC-type glycine betaine/L-proline transport ATP-binding protein ProV],[evalue=2.12210E-40],[locus_tag=SynWH7803_1332],[protein_id=CAK23758.1],[gene=devA],[protein=DevA-like ABC transporter ATPase component],[evalue=1.27345E-38]
[locus_tag=PMM0373],[protein_id=CAE18832.1],[gene=cynS],[protein=Cyanate lyase],[locus_tag=SynWH7803_2495],[protein_id=CAK24921.1],[gene=cynS],[protein=Cyanate lyase],[evalue=1.11471E-67]
[locus_tag=PMM0374],[protein_id=CAE18833.1],[gene=None],[protein=mttA/Hcf106 family],[locus_tag=SynWH7803_0314],[protein_id=CAK22740.1],[gene=None],[protein=Sec-independent protein translocase protein TatA],[evalue=4.51663E-27]
[locus_tag=PMM0378],[protein_id=CAE18837.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0819],[protein_id=CAK23245.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=8.04516E-39]
[locus_tag=PMM0383],[protein_id=CAE18842.1],[gene=None],[protein=probable periplasmic protein],[locus_tag=SynWH7803_0803],[protein_id=CAK23229.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.42299E-73]
[locus_tag=PMM0387],[protein_id=CAE18846.1],[gene=aroD],[protein=Dehydroquinase class II],[locus_tag=SynWH7803_0549],[protein_id=CAK22975.1],[gene=aroQ],[protein=3-dehydroquinate dehydratase II],[evalue=2.11882E-59]
[locus_tag=PMM0388],[protein_id=CAE18847.1],[gene=None],[protein=putative similar to tRNA-(MS[2],[locus_tag=SynWH7803_0550],[protein_id=CAK22976.1],[gene=miaE],[protein=tRNA-(MS[2],[evalue=4.69811E-78]
[locus_tag=PMM0389],[protein_id=CAE18848.1],[gene=cobI/cbiL],[protein=PRECORRIN-2 C20-METHYLTRANSFERASE],[locus_tag=SynWH7803_0561],[protein_id=CAK22987.1],[gene=cobI],[protein=Precorrin-2 C20-methyltransferase],[evalue=4.45848E-51]
[locus_tag=PMM0390],[protein_id=CAE18849.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0566],[protein_id=CAK22992.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.12732E-46]
[locus_tag=PMM0391],[protein_id=CAE18850.1],[gene=None],[protein=GTP-binding protein (HSR1-related)],[locus_tag=SynWH7803_0568],[protein_id=CAK22994.1],[gene=engA],[protein=GTP-binding protein engA],[evalue=0.00000E+00],[locus_tag=SynWH7803_2340],[protein_id=CAK24766.1],[gene=trmE],[protein=tRNA modification GTPase],[evalue=1.20599E-14],[locus_tag=SynWH7803_1726],[protein_id=CAK24152.1],[gene=era],[protein=GTP-binding protein era homolog],[evalue=9.15941E-13]
[locus_tag=PMM0392],[protein_id=CAE18851.1],[gene=None],[protein=possible cobalt transport protein],[locus_tag=SynWH7803_0569],[protein_id=CAK22995.1],[gene=cbiQ],[protein=Possible ABC-type cobalt transport system permease component],[evalue=7.47459E-77]
[locus_tag=PMM0393],[protein_id=CAE18852.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0570],[protein_id=CAK22996.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.23842E-38]
[locus_tag=PMM0394],[protein_id=CAE18853.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0571],[protein_id=CAK22997.1],[gene=None],[protein=Predicted enzyme with a TIM-barrel fold],[evalue=4.76358E-79]
[locus_tag=PMM0395],[protein_id=CAE18854.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0572],[protein_id=CAK22998.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=9.83679E-65],[locus_tag=SynWH7803_1394],[protein_id=CAK23820.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=4.01438E-22]
[locus_tag=PMM0396],[protein_id=CAE18855.1],[gene=proC],[protein=Delta 1-pyrroline-5-carboxylate reductase],[locus_tag=SynWH7803_0573],[protein_id=CAK22999.1],[gene=proC],[protein=Pyrroline-5-carboxylate reductase],[evalue=5.44294E-78]
[locus_tag=PMM0397],[protein_id=CAE18856.1],[gene=None],"[protein=possible Glycosyl transferase, group 1]",[locus_tag=SynWH7803_0574],[protein_id=CAK23000.1],[gene=None],[protein=Glycosyltransferase of family GT4],[evalue=0.00000E+00],[locus_tag=SynWH7803_0227],[protein_id=CAK22653.1],[gene=None],[protein=Glycosyltransferase of family GT4],[evalue=1.01012E-12],[locus_tag=SynWH7803_0052],[protein_id=CAK22478.1],[gene=None],[protein=Glycosyltransferase of family GT4; possible alpha-mannosyltransferase],[evalue=6.05537E-11]
[locus_tag=PMM0398],[protein_id=CAE18857.1],[gene=None],[protein=possible Recombination protein O (RecO)],[locus_tag=SynWH7803_0576],[protein_id=CAK23002.1],[gene=recO],[protein=DNA repair protein RecO],[evalue=6.36590E-92]
[locus_tag=PMM0399],[protein_id=CAE18858.1],[gene=None],[protein=Putative deoxyribose-phosphate aldolase],[locus_tag=SynWH7803_0577],[protein_id=CAK23003.1],[gene=deoC],[protein=Deoxyribose-phosphate aldolase],[evalue=2.78510E-20]
[locus_tag=PMM0400],[protein_id=CAE18859.1],[gene=lrtA],[protein=light repressed protein A homolog],[locus_tag=SynWH7803_0578],[protein_id=CAK23004.1],[gene=lrtA],[protein=Light repressed protein A homolog],[evalue=2.94052E-78]
[locus_tag=PMM0401],[protein_id=CAE18860.1],[gene=lipB],[protein=putative lipoate-protein ligase B],[locus_tag=SynWH7803_0579],[protein_id=CAK23005.1],[gene=lipB],[protein=Lipoyltransferase],[evalue=5.51459E-61]
[locus_tag=PMM0402],[protein_id=CAE18861.1],[gene=fadD],[protein=putative long-chain-fatty-acid--CoA ligase],[locus_tag=SynWH7803_0580],[protein_id=CAK23006.1],[gene=fadD],[protein=Long-chain acyl-CoA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0403],[protein_id=CAE18862.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=SynWH7803_0581],[protein_id=CAK23007.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=7.19693E-64]
[locus_tag=PMM0405],[protein_id=CAE18864.1],[gene=pdhC],[protein=Dihydrolipoamide acetyltransferase component (E2) of pyruvate de],[locus_tag=SynWH7803_0582],[protein_id=CAK23008.1],[gene=pdhC],[protein=Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex],[evalue=5.64789E-151],[locus_tag=SynWH7803_0582],[protein_id=CAK23008.1],[gene=pdhC],[protein=Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex],[evalue=7.89044E-44]
[locus_tag=PMM0406],[protein_id=CAE18865.1],[gene=queA],[protein=Queuosine biosynthesis protein],[locus_tag=SynWH7803_0584],[protein_id=CAK23010.1],[gene=queA],[protein=S-adenosylmethionine:tRNA-ribosyltransferase-isomerase],[evalue=7.19947E-115]
[locus_tag=PMM0407],[protein_id=CAE18866.1],[gene=cysK1],[protein=O-acetylserine (thiol)-lyase A],[locus_tag=SynWH7803_0585],[protein_id=CAK23011.1],[gene=cysK],[protein=Cysteine synthase],[evalue=0.00000E+00],[locus_tag=SynWH7803_2234],[protein_id=CAK24660.1],[gene=cysK],[protein=Cysteine synthase],[evalue=1.41009E-84]
