[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[locus_tag=PMM0001],[protein_id=CAE18460.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=PMM0575],[protein_id=CAE19034.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0575],[protein_id=CAE19034.1],[gene=None],[protein=conserved hypothetical],[evalue=3.00787E-74]
[locus_tag=PMM0576],[protein_id=CAE19035.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0576],[protein_id=CAE19035.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.39302E-88]
[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]",[locus_tag=PMM0577],[protein_id=CAE19036.1],[gene=None],"[protein=Putative type II alternative sigma factor, sigma70 family]",[evalue=0.00000E+00],[locus_tag=PMM1289],[protein_id=CAE19748.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=2.65488E-79],[locus_tag=PMM1697],[protein_id=CAE20156.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.10988E-72]
[locus_tag=PMM0578],[protein_id=CAE19037.1],[gene=None],[protein=Phosphoribosyl-AMP cyclohydrolase],[locus_tag=PMM0578],[protein_id=CAE19037.1],[gene=None],[protein=Phosphoribosyl-AMP cyclohydrolase],[evalue=6.56482E-168]
[locus_tag=PMM0579],[protein_id=CAE19038.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0579],[protein_id=CAE19038.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.40909E-117]
[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[locus_tag=PMM0580],[protein_id=CAE19039.1],[gene=clpB1],"[protein=ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00],[locus_tag=PMM1088],[protein_id=CAE19547.1],[gene=clpC],[protein=ClpC],[evalue=0.00000E+00],[locus_tag=PMM0207],[protein_id=CAE18666.1],[gene=clpB2],"[protein=putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB]",[evalue=0.00000E+00]
[locus_tag=PMM0581],[protein_id=CAE19040.1],[gene=petE],[protein=plastocyanin],[locus_tag=PMM0581],[protein_id=CAE19040.1],[gene=petE],[protein=plastocyanin],[evalue=4.12017E-84]
[locus_tag=PMM0582],[protein_id=CAE19041.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0582],[protein_id=CAE19041.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0583],[protein_id=CAE19042.1],[gene=hemE],[protein=None],[locus_tag=PMM0583],[protein_id=CAE19042.1],[gene=hemE],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[locus_tag=PMM0584],[protein_id=CAE19043.1],[gene=glgB],"[protein=1,4-alpha-glucan branching enzyme]",[evalue=0.00000E+00],[locus_tag=PMM1322],[protein_id=CAE19781.1],[gene=glgX],[protein=Putative isoamylase],[evalue=5.69556E-14]
[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0585],[protein_id=CAE19044.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0586],[protein_id=CAE19045.1],[gene=None],[protein=conserved hypothetical],[evalue=2.33272E-59]
[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0587],[protein_id=CAE19046.1],[gene=None],[protein=conserved hypothetical],[evalue=1.77497E-96]
[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0588],[protein_id=CAE19047.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.93260E-104]
[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[locus_tag=PMM0589],[protein_id=CAE19048.1],[gene=None],[protein=conserved hypothetical],[evalue=0.00000E+00]
[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[locus_tag=PMM0590],[protein_id=CAE19049.1],[gene=proA],[protein=Gamma-glutamyl phosphate reductase],[evalue=0.00000E+00]
[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[locus_tag=PMM0591],[protein_id=CAE19050.1],[gene=folB],[protein=Possible dihydroneopterin aldolase],[evalue=3.56507E-85]
[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein],[locus_tag=PMM0592],[protein_id=CAE19051.1],[gene=None],[protein=lipase family protein],[evalue=1.63754E-145]
[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3],[locus_tag=PMM0593],[protein_id=CAE19052.1],[gene=None],[protein=Peptidase family M3],[evalue=0.00000E+00]
[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=None],[locus_tag=PMM0594],[protein_id=CAE19053.1],[gene=ndhD],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM0150],[protein_id=CAE18609.1],[gene=ndhD],[protein=None],[evalue=1.54941E-164],[locus_tag=PMM0149],[protein_id=CAE18608.1],[gene=ndhF],[protein=None],[evalue=9.79671E-16]
[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=None],[locus_tag=PMM0595],[protein_id=CAE19054.1],[gene=thrB],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase],[locus_tag=PMM0596],[protein_id=CAE19055.1],[gene=None],[protein=Putative glucokinase],[evalue=0.00000E+00]
[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[locus_tag=PMM0597],[protein_id=CAE19056.1],[gene=thrS],[protein=Threonyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[locus_tag=PMM0598],[protein_id=CAE19057.1],[gene=trpS],[protein=Tryptophanyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0599],[protein_id=CAE19058.1],[gene=None],[protein=conserved hypothetical protein],[evalue=6.25522E-110]
[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0600],[protein_id=CAE19059.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0601],[protein_id=CAE19060.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn]",[locus_tag=PMM0601],[protein_id=CAE19060.1],[gene=None],"[protein=ABC transporter, substrate binding protein, possibly Mn]",[evalue=0.00000E+00]
[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[locus_tag=PMM0602],[protein_id=CAE19061.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transporter]",[evalue=0.00000E+00],[locus_tag=PMM1031],[protein_id=CAE19490.1],[gene=None],"[protein=ABC transporter, ATP binding domain, possibly Mn transport]",[evalue=5.23154E-29],[locus_tag=PMM0973],[protein_id=CAE19432.1],[gene=urtD],[protein=putative ATP binding subunit of urea ABC transport system],[evalue=1.17799E-23]
[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[locus_tag=PMM0603],[protein_id=CAE19062.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=0.00000E+00],[locus_tag=PMM1029],[protein_id=CAE19488.1],[gene=None],"[protein=ABC transporter component, possibly Mn transport]",[evalue=6.81074E-19]
[locus_tag=PMM0604],[protein_id=CAE19063.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0604],[protein_id=CAE19063.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0605],[protein_id=CAE19064.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0605],[protein_id=CAE19064.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.03367E-80]
[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[locus_tag=PMM0606],[protein_id=CAE19065.1],[gene=lepB],[protein=leader peptidase I],[evalue=1.82466E-140],[locus_tag=PMM0513],[protein_id=CAE18972.1],[gene=lepB],[protein=Signal peptidase I],[evalue=6.85689E-24]
[locus_tag=PMM0607],[protein_id=CAE19066.1],[gene=menD],[protein=None],[locus_tag=PMM0607],[protein_id=CAE19066.1],[gene=menD],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0608],[protein_id=CAE19067.1],[gene=menB],[protein=Napthoate synthase],[locus_tag=PMM0608],[protein_id=CAE19067.1],[gene=menB],[protein=Napthoate synthase],[evalue=0.00000E+00]
[locus_tag=PMM0609],[protein_id=CAE19068.1],[gene=None],[protein=None],[locus_tag=PMM0609],[protein_id=CAE19068.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0610],[protein_id=CAE19069.1],[gene=murF],[protein=Cytoplasmic peptidoglycan synthetase],[locus_tag=PMM0610],[protein_id=CAE19069.1],[gene=murF],[protein=Cytoplasmic peptidoglycan synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0611],[protein_id=CAE19070.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[locus_tag=PMM0611],[protein_id=CAE19070.1],[gene=glmU],[protein=UDP-N-acetylglucosamine pyrophosphorylase],[evalue=0.00000E+00]
[locus_tag=PMM0612],[protein_id=CAE19071.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0612],[protein_id=CAE19071.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0613],[protein_id=CAE19072.1],[gene=aroA],[protein=None],[locus_tag=PMM0613],[protein_id=CAE19072.1],[gene=aroA],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0614],[protein_id=CAE19073.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0614],[protein_id=CAE19073.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.74158E-154]
[locus_tag=PMM0615],[protein_id=CAE19074.1],[gene=None],[protein=Possible nitrilase],[locus_tag=PMM0615],[protein_id=CAE19074.1],[gene=None],[protein=Possible nitrilase],[evalue=0.00000E+00]
[locus_tag=PMM0616],[protein_id=CAE19075.1],[gene=None],[protein=Cell wall hydrolase/autolysin],[locus_tag=PMM0616],[protein_id=CAE19075.1],[gene=None],[protein=Cell wall hydrolase/autolysin],[evalue=0.00000E+00]
[locus_tag=PMM0617],[protein_id=CAE19076.1],[gene=murI],[protein=None],[locus_tag=PMM0617],[protein_id=CAE19076.1],[gene=murI],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=None],[locus_tag=PMM0618],[protein_id=CAE19077.1],[gene=sds],[protein=None],[evalue=0.00000E+00],[locus_tag=PMM1070],[protein_id=CAE19529.1],[gene=crtE],[protein=Polyprenyl synthetase],[evalue=4.57379E-25]
[locus_tag=PMM0619],[protein_id=CAE19078.1],[gene=acs],[protein=acetyl-coenzyme A synthetase],[locus_tag=PMM0619],[protein_id=CAE19078.1],[gene=acs],[protein=acetyl-coenzyme A synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0620],[protein_id=CAE19079.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0620],[protein_id=CAE19079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0621],[protein_id=CAE19080.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]",[locus_tag=PMM0621],[protein_id=CAE19080.1],[gene=dnaQ],"[protein=possible DNA polymerase III, epsilon subunit]",[evalue=0.00000E+00]
[locus_tag=PMM0622],[protein_id=CAE19081.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0622],[protein_id=CAE19081.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.12220E-98]
[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[locus_tag=PMM0623],[protein_id=CAE19082.1],[gene=hisS],[protein=Histidyl-tRNA synthetase],[evalue=0.00000E+00]
[locus_tag=PMM0624],[protein_id=CAE19083.1],[gene=None],[protein=possible Hantavirus glycoprotein G2],[locus_tag=PMM0624],[protein_id=CAE19083.1],[gene=None],[protein=possible Hantavirus glycoprotein G2],[evalue=4.59117E-53]
[locus_tag=PMM0625],[protein_id=CAE19084.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0625],[protein_id=CAE19084.1],[gene=None],[protein=hypothetical],[evalue=6.36691E-69]
[locus_tag=PMM0626],[protein_id=CAE19085.1],[gene=None],[protein=hypothetical],[locus_tag=PMM0626],[protein_id=CAE19085.1],[gene=None],[protein=hypothetical],[evalue=1.82384E-56]
[locus_tag=PMM1852],[protein_id=CAP16356.1],[gene=None],[protein=Conserved hypothetical protein],[locus_tag=PMM1852],[protein_id=CAP16356.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.35718E-39]
[locus_tag=PMM0627],[protein_id=CAE19086.1],[gene=pcb],[protein=light-harvesting complex protein],[locus_tag=PMM0627],[protein_id=CAE19086.1],[gene=pcb],[protein=light-harvesting complex protein],[evalue=0.00000E+00],[locus_tag=PMM1158],[protein_id=CAE19617.1],[gene=psbC],[protein=None],[evalue=1.46906E-50],[locus_tag=PMM0315],[protein_id=CAE18774.1],[gene=psbB],[protein=None],[evalue=4.55814E-12]
[locus_tag=PMM0628],[protein_id=CAE19087.1],[gene=None],[protein=None],[locus_tag=PMM0628],[protein_id=CAE19087.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0629],[protein_id=CAE19088.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0629],[protein_id=CAE19088.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.85219E-59]
[locus_tag=PMM0630],[protein_id=CAE19089.1],[gene=None],[protein=Glutathione S-transferase N terminus],[locus_tag=PMM0630],[protein_id=CAE19089.1],[gene=None],[protein=Glutathione S-transferase N terminus],[evalue=1.06080E-162]
[locus_tag=PMM0631],[protein_id=CAE19090.1],[gene=None],[protein=None],[locus_tag=PMM0631],[protein_id=CAE19090.1],[gene=None],[protein=None],[evalue=6.80967E-131]
[locus_tag=PMM0632],[protein_id=CAE19091.1],[gene=None],[protein=None],[locus_tag=PMM0632],[protein_id=CAE19091.1],[gene=None],[protein=None],[evalue=1.99268E-176],[locus_tag=PMM0453],[protein_id=CAE18912.1],[gene=fabG],[protein=None],[evalue=1.20650E-12]
[locus_tag=PMM0633],[protein_id=CAE19092.1],[gene=crtL2],[protein=putative lycopene epsilon cyclase],[locus_tag=PMM0633],[protein_id=CAE19092.1],[gene=crtL2],[protein=putative lycopene epsilon cyclase],[evalue=0.00000E+00],[locus_tag=PMM1064],[protein_id=CAE19523.1],[gene=crtL1],[protein=putative lycopene beta cyclase],[evalue=3.78603E-131]
[locus_tag=PMM0634],[protein_id=CAE19093.1],[gene=None],[protein=possible light-dependent protochlorophyllide oxido-reductase],[locus_tag=PMM0634],[protein_id=CAE19093.1],[gene=None],[protein=possible light-dependent protochlorophyllide oxido-reductase],[evalue=0.00000E+00],[locus_tag=PMM1361],[protein_id=CAE19820.1],[gene=None],[protein=None],[evalue=2.00627E-22],[locus_tag=PMM0542],[protein_id=CAE19001.1],[gene=None],[protein=Light dependent protochlorophyllide oxido-reductase],[evalue=1.72809E-13]
[locus_tag=PMM0635],[protein_id=CAE19094.1],[gene=None],"[protein=small mechanosensitive ion channel, MscS family]",[locus_tag=PMM0635],[protein_id=CAE19094.1],[gene=None],"[protein=small mechanosensitive ion channel, MscS family]",[evalue=0.00000E+00]
[locus_tag=PMM0636],[protein_id=CAE19095.1],[gene=None],[protein=Isochorismatase hydrolase family],[locus_tag=PMM0636],[protein_id=CAE19095.1],[gene=None],[protein=Isochorismatase hydrolase family],[evalue=3.85983E-134]
[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family],[locus_tag=PMM0637],[protein_id=CAE19096.1],[gene=fur],[protein=Ferric uptake regulator family],[evalue=2.04444E-110],[locus_tag=PMM1030],[protein_id=CAE19489.1],[gene=None],[protein=Ferric uptake regulator family],[evalue=8.92228E-12]
[locus_tag=PMM0638],[protein_id=CAE19097.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0638],[protein_id=CAE19097.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0639],[protein_id=CAE19098.1],[gene=stpA],[protein=putative glucosylglycerolphosphate phosphatase],[locus_tag=PMM0639],[protein_id=CAE19098.1],[gene=stpA],[protein=putative glucosylglycerolphosphate phosphatase],[evalue=0.00000E+00]
[locus_tag=PMM0640],[protein_id=CAE19099.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0640],[protein_id=CAE19099.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0641],[protein_id=CAE19100.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0641],[protein_id=CAE19100.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.81143E-158]
[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[locus_tag=PMM0642],[protein_id=CAE19101.1],[gene=cysD],[protein=putative O-Acetyl homoserine sulfhydrylase],[evalue=0.00000E+00],[locus_tag=PMM0409],[protein_id=CAE18868.1],[gene=metB],[protein=putative Cystathionine gamma-synthase],[evalue=5.66785E-45]
[locus_tag=PMM0643],[protein_id=CAE19102.1],[gene=metA],[protein=putative homoserine O-succinyltransferase],[locus_tag=PMM0643],[protein_id=CAE19102.1],[gene=metA],[protein=putative homoserine O-succinyltransferase],[evalue=0.00000E+00]
[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[locus_tag=PMM0644],[protein_id=CAE19103.1],[gene=None],[protein=putative sulfate transporter],[evalue=0.00000E+00],[locus_tag=PMM0214],[protein_id=CAE18673.1],[gene=None],[protein=putative sulfate transporter],[evalue=5.53007E-38]
[locus_tag=PMM0645],[protein_id=CAE19104.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[locus_tag=PMM0645],[protein_id=CAE19104.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[evalue=0.00000E+00]
[locus_tag=PMM0646],[protein_id=CAE19105.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0646],[protein_id=CAE19105.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[locus_tag=PMM0647],[protein_id=CAE19106.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.35782E-60],[locus_tag=PMM1429],[protein_id=CAE19888.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.67642E-14]
[locus_tag=PMM0648],[protein_id=CAE19107.1],[gene=None],[protein=None],[locus_tag=PMM0648],[protein_id=CAE19107.1],[gene=None],[protein=None],[evalue=0.00000E+00]
[locus_tag=PMM0649],[protein_id=CAE19108.1],[gene=None],[protein=Pentapeptide repeats],[locus_tag=PMM0649],[protein_id=CAE19108.1],[gene=None],[protein=Pentapeptide repeats],[evalue=2.58710E-114],[locus_tag=PMM1042],[protein_id=CAE19501.1],[gene=None],[protein=conserved hpothetical protein],[evalue=5.78705E-20],[locus_tag=PMM1350],[protein_id=CAE19809.1],[gene=None],[protein=Pentapeptide repeats],[evalue=3.53102E-17]
[locus_tag=PMM0650],[protein_id=CAE19109.1],[gene=None],[protein=possible LEM domain],[locus_tag=PMM0650],[protein_id=CAE19109.1],[gene=None],[protein=possible LEM domain],[evalue=5.58742E-96]
[locus_tag=PMM0651],[protein_id=CAE19110.1],[gene=None],[protein=possible VHS domain],[locus_tag=PMM0651],[protein_id=CAE19110.1],[gene=None],[protein=possible VHS domain],[evalue=8.47587E-120]
[locus_tag=PMM0652],[protein_id=CAE19111.1],[gene=None],[protein=None],[locus_tag=PMM0652],[protein_id=CAE19111.1],[gene=None],[protein=None],[evalue=6.08519E-90]
