[locus_tag=Syncc8109_0001],[protein_id=AHF62427.1],[gene=dnaN],"[protein=DNA polymerase III, beta subunit]",[locus_tag=PMT_0001],[protein_id=CAE20176.1],[gene=dnaN],"[protein=DNA polymerase III, beta chain]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0665],[protein_id=AHF63050.1],[gene=coxA],[protein=Cytochrome-c oxidase],[locus_tag=PMT_1342],[protein_id=CAE21517.1],[gene=ctaD (coxA)],"[protein=Cytochrome c oxidase, subunit I]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0666],[protein_id=AHF63051.1],[gene=coxB],[protein=putative cytochrome c oxidase subunit II],[locus_tag=PMT_1341],[protein_id=CAE21516.1],[gene=ctaC (coxB)],"[protein=putative cytochrome c oxidase, subunit II]",[evalue=4.49437E-148]
[locus_tag=Syncc8109_0667],[protein_id=AHF63052.1],[gene=ctaA],[protein=putative cytochrome c oxidase assembly protein],[locus_tag=PMT_1340],[protein_id=CAE21515.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.20872E-114]
[locus_tag=Syncc8109_0668],[protein_id=AHF63053.1],[gene=ctaB],[protein=protoheme IX farnesyltransferase],[locus_tag=PMT_1339],[protein_id=CAE21514.1],[gene=ctaB],[protein=putative protoheme IX farnesyltransferase],[evalue=9.03938E-158]
[locus_tag=Syncc8109_0669],[protein_id=AHF63054.1],[gene=drrA],[protein=ATPase],[locus_tag=PMT_1338],[protein_id=CAE21513.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.11015E-173],[locus_tag=PMT_0572],[protein_id=CAE20747.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=8.17804E-30],[locus_tag=PMT_2190],[protein_id=CAE22364.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=1.43962E-29]
[locus_tag=Syncc8109_0670],[protein_id=AHF63055.1],[gene=drrB],[protein=putative multidrug efflux ABC transporter],[locus_tag=PMT_1337],[protein_id=CAE21512.1],[gene=None],[protein=putative multidrug efflux ABC transporter],[evalue=2.40304E-151]
[locus_tag=Syncc8109_0672],[protein_id=AHF63057.1],[gene=nanE],[protein=N-acylglucosamine-6-phosphate 2-epimerase],[locus_tag=PMT_1335],[protein_id=CAE21510.1],[gene=None],[protein=Proteins binding FMN and related compounds core region],[evalue=2.04334E-112]
[locus_tag=Syncc8109_0673],[protein_id=AHF63058.1],[gene=groEL2],[protein=Chaperonin Cpn60/TCP-1],[locus_tag=PMT_1334],[protein_id=CAE21509.1],"[gene=groEL2,cpn60-2]",[protein=GroEL2 protein (Chaperonin cpn60-2)],[evalue=0.00000E+00],[locus_tag=PMT_1449],[protein_id=CAE21624.1],[gene=groEL],[protein=GroEL protein (Chaperonin cpn60)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0674],[protein_id=AHF63059.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2676],[protein_id=CAX32198.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=2.18396E-19]
[locus_tag=Syncc8109_0675],[protein_id=AHF63060.1],[gene=fabG],[protein=3-oxoacyl-(acyl-carrier-protein) reductase],[locus_tag=PMT_1333],[protein_id=CAE21508.1],[gene=fabG],[protein=3-oxoacyl-[acyl-carrier protein],[evalue=2.10441E-136],[locus_tag=PMT_1228],[protein_id=CAE21403.1],[gene=None],[protein=putative short-chain dehydrogenase],[evalue=1.86778E-13],[locus_tag=PMT_0548],[protein_id=CAE20723.1],[gene=None],[protein=putative agropine synthesis reductase],[evalue=9.08929E-13]
[locus_tag=Syncc8109_0676],[protein_id=AHF63061.1],[gene=trkA],"[protein=putative potassium channel, VIC family]",[locus_tag=PMT_1332],[protein_id=CAE21507.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=2.46607E-159],[locus_tag=PMT_1629],[protein_id=CAE21804.1],[gene=None],"[protein=putative potassium channel, VIC family]",[evalue=1.64072E-06]
[locus_tag=Syncc8109_0677],[protein_id=AHF63062.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1331],[protein_id=CAE21506.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.78821E-98]
[locus_tag=Syncc8109_0678],[protein_id=AHF63063.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[locus_tag=PMT_1330],[protein_id=CAE21505.1],[gene=ispD],[protein=putative 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase],[evalue=3.51928E-112]
[locus_tag=Syncc8109_0679],[protein_id=AHF63064.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1329],[protein_id=CAE21504.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.87792E-130],[locus_tag=PMT_0538],[protein_id=CAE20713.1],[gene=None],[protein=Uncharacterized protein family UPF0094],[evalue=2.57614E-60]
[locus_tag=Syncc8109_0680],[protein_id=AHF63065.1],[gene=ubiA],[protein=putative 4-hydroxybenzoate-octaprenyltransferase],[locus_tag=PMT_1328],[protein_id=CAE21503.1],[gene=ubiA],[protein=probable 4-hydroxybenzoate-octaprenyltransferase],[evalue=1.13899E-94]
[locus_tag=Syncc8109_0681],[protein_id=AHF63066.1],[gene=gppA],[protein=Exopolyphosphatase],[locus_tag=PMT_1327],[protein_id=CAE21502.1],[gene=ppx],[protein=putative exopolyphosphatase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0682],[protein_id=AHF63067.1],[gene=None],"[protein=transcriptional regulator, XRE family]",[locus_tag=PMT_1326],[protein_id=CAE21501.1],[gene=None],[protein=conserved hypothetical protein],[evalue=9.50959E-20],[locus_tag=PMT_1070],[protein_id=CAE21245.1],[gene=None],[protein=Helix-turn-helix motif],[evalue=1.06244E-07]
[locus_tag=Syncc8109_0684],[protein_id=AHF63068.1],[gene=cobM],[protein=precorrin-4 C11-methyltransferase],[locus_tag=PMT_1325],[protein_id=CAE21500.1],[gene=cobM],[protein=PUTATIVE PRECORRIN-4 C11-METHYLTRANSFERASE],[evalue=2.23456E-134],[locus_tag=PMT_2237],[protein_id=CAE22411.1],[gene=cobA],[protein=putative uroporphyrin-III C-methyltransferase],[evalue=3.68863E-16]
[locus_tag=Syncc8109_0685],[protein_id=AHF63069.1],[gene=yvoC],[protein=prolipoprotein diacylglyceryl transferase],[locus_tag=PMT_1324],[protein_id=CAE21499.1],"[gene=yvoC, lgt, umpA]",[protein=putative prolipoprotein diacylglyceryl transferase],[evalue=3.80595E-137]
[locus_tag=Syncc8109_0686],[protein_id=AHF63070.1],[gene=petA],[protein=apocytochrome f],[locus_tag=PMT_1323],[protein_id=CAE21498.1],[gene=petA],[protein=Cytochrome f],[evalue=3.40202E-169]
[locus_tag=Syncc8109_0687],[protein_id=AHF63071.1],[gene=petC],[protein=Twin-arginine translocation pathway signal],[locus_tag=PMT_1322],[protein_id=CAE21497.1],[gene=petC],[protein=Rieske iron-sulfur protein],[evalue=3.58841E-114]
[locus_tag=Syncc8109_0689],[protein_id=AHF63073.1],[gene=tatC],[protein=Sec-independent protein translocase TatC],[locus_tag=PMT_1320],[protein_id=CAE21495.1],[gene=None],"[protein=protein secretion component, Tat family]",[evalue=1.53541E-125]
[locus_tag=Syncc8109_0690],[protein_id=AHF63074.1],[gene=None],[protein=secreted protein MPB70 precursor-like protein],[locus_tag=PMT_1319],[protein_id=CAE21494.1],[gene=None],[protein=possible secreted protein MPB70 precursor],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0691],[protein_id=AHF63075.1],[gene=gmk],[protein=Guanylate kinase],[locus_tag=PMT_1318],[protein_id=None],[gene=gmk],[protein=Guanylate kinase],[evalue=5.02073E-99],[locus_tag=PMT_2672],[protein_id=CAX32193.1],[gene=gmk],[protein=Guanylate kinase],[evalue=1.25851E-98]
[locus_tag=Syncc8109_0692],[protein_id=AHF63076.1],[gene=psaJ],[protein=photosystem I reaction centre subunit IX (PsaJ)],[locus_tag=PMT_1317],[protein_id=CAE21492.1],[gene=psaJ],[protein=photosystem I reaction centre subunit IX (PsaJ)],[evalue=8.32870E-13]
[locus_tag=Syncc8109_0693],[protein_id=AHF63077.1],[gene=psaF],[protein=photosystem I reaction center subunit III (PsaF)],[locus_tag=PMT_1316],[protein_id=CAE21491.1],[gene=psaF],[protein=Photosystem I PsaF protein (subunit III)],[evalue=6.05826E-62]
[locus_tag=Syncc8109_0694],[protein_id=AHF63078.1],[gene=None],"[protein=metalloendopeptidase, putative, glycoprotease family]",[locus_tag=PMT_1315],[protein_id=CAE21490.1],[gene=None],[protein=probable o-sialoglycoprotein endopeptidase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0695],[protein_id=AHF63079.1],[gene=hli8],[protein=putative high light inducible protein],[locus_tag=PMT_1314],[protein_id=CAE21489.1],[gene=hli1],[protein=possible high light inducible protein],[evalue=1.04750E-20]
[locus_tag=Syncc8109_0699],[protein_id=AHF63081.1],[gene=nfrC],[protein=UDP-N-acetylglucosamine 2-epimerase],[locus_tag=PMT_1312],[protein_id=CAE21487.1],[gene=nfrC],[protein=UDP-N-acetylglucosamine 2-epimerase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0700],[protein_id=AHF63082.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1311],[protein_id=CAE21486.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.70147E-51]
[locus_tag=Syncc8109_0701],[protein_id=AHF63083.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1310],[protein_id=CAE21485.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.49982E-43]
[locus_tag=Syncc8109_0702],[protein_id=AHF63084.1],[gene=nhaP],"[protein=putative Na+/H+ antiporter, CPA1 family]",[locus_tag=PMT_1309],[protein_id=CAE21484.1],[gene=None],"[protein=putative Na+/H+ antiporter, CPA1 family]",[evalue=0.00000E+00]
[locus_tag=Syncc8109_0707],[protein_id=AHF63088.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1307],[protein_id=CAE21482.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.99122E-40]
[locus_tag=Syncc8109_0709],[protein_id=AHF63089.1],[gene=rpl19],[protein=ribosomal protein L19],[locus_tag=PMT_1306],[protein_id=CAE21481.1],[gene=rpl19],[protein=Ribosomal protein L19],[evalue=1.85808E-88]
[locus_tag=Syncc8109_0711],[protein_id=AHF63091.1],[gene=map],"[protein=methionine aminopeptidase, type I]",[locus_tag=PMT_1305],[protein_id=CAE21480.1],[gene=map],[protein=putative methionine aminopeptidase],[evalue=0.00000E+00],[locus_tag=PMT_1456],[protein_id=CAE21631.1],[gene=pepP],[protein=putative aminopeptidase P],[evalue=4.60326E-10]
[locus_tag=Syncc8109_0712],[protein_id=AHF63092.1],[gene=None],[protein=short chain dehydrogenase],[locus_tag=PMT_1304],[protein_id=CAE21479.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.73556E-100]
[locus_tag=Syncc8109_0713],[protein_id=AHF63093.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1303],[protein_id=CAE21478.1],[gene=None],[protein=possible Ligand-binding domain of nuclear horm],[evalue=5.21418E-15]
[locus_tag=Syncc8109_0714],[protein_id=AHF63094.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1302],[protein_id=CAE21477.1],[gene=None],[protein=conserved hypothetical protein],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0715],[protein_id=AHF63095.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1301],[protein_id=CAE21476.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.73730E-103]
[locus_tag=Syncc8109_0717],[protein_id=AHF63097.1],[gene=None],[protein=nucleotide-binding protein],[locus_tag=PMT_1298],[protein_id=CAE21473.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.74934E-104]
[locus_tag=Syncc8109_0718],[protein_id=AHF63098.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_0904],[protein_id=CAE21079.1],[gene=None],[protein=conserved hypothetical protein],[evalue=8.83665E-31]
[locus_tag=Syncc8109_0723],[protein_id=AHF63103.1],[gene=hemL],"[protein=glutamate-1-semialdehyde-2,1-aminomutase]",[locus_tag=PMT_1296],[protein_id=CAE21471.1],"[gene=hemL,gsa]","[protein=glutamate-1-semialdehyde 2,1-aminomutase]",[evalue=0.00000E+00],[locus_tag=PMT_0103],[protein_id=CAE20278.1],[gene=None],"[protein=aminotransferase, Class III pyridoxal-phosphate dependent]",[evalue=1.77187E-61],[locus_tag=PMT_0331],[protein_id=CAE20506.1],[gene=argD],[protein=acetylornithine aminotransferase],[evalue=1.95235E-25]
[locus_tag=Syncc8109_0725],[protein_id=AHF63105.1],[gene=glcD],[protein=putative glycolate oxidase subunit GlcD],[locus_tag=PMT_1295],[protein_id=CAE21470.1],[gene=glcD],[protein=putative glycolate oxidase subunit glcD],[evalue=0.00000E+00],[locus_tag=PMT_0327],[protein_id=CAE20502.1],[gene=None],"[protein=FAD linked oxidase, N-terminal]",[evalue=2.90980E-08],[locus_tag=PMT_1939],[protein_id=CAE22113.1],[gene=glcE],[protein=putative glycolate oxidase subunit GlcE],[evalue=7.70915E-06]
[locus_tag=Syncc8109_0726],[protein_id=AHF63106.1],[gene=None],[protein=exodeoxyribonuclease III],[locus_tag=PMT_1294],[protein_id=CAE21469.1],[gene=xthA],[protein=exodeoxyribonuclease III],[evalue=4.85932E-146]
[locus_tag=Syncc8109_0727],[protein_id=AHF63107.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_2666],[protein_id=CAX32187.1],[gene=None],[protein=Conserved hypothetical protein],[evalue=1.06439E-26]
[locus_tag=Syncc8109_0728],[protein_id=AHF63108.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1293],[protein_id=CAE21468.1],[gene=None],[protein=conserved hypothetical protein],[evalue=5.22853E-37]
[locus_tag=Syncc8109_0730],[protein_id=AHF63110.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1292],[protein_id=CAE21467.1],[gene=None],[protein=conserved hypothetical protein],[evalue=3.77675E-98]
[locus_tag=Syncc8109_0732],[protein_id=AHF63112.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1291],[protein_id=CAE21466.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.22375E-154]
[locus_tag=Syncc8109_0733],[protein_id=AHF63113.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1290],[protein_id=CAE21465.1],[gene=None],[protein=conserved hypothetical protein],[evalue=2.46415E-110]
[locus_tag=Syncc8109_0734],[protein_id=AHF63114.1],[gene=None],[protein=serine/threonine specific protein phosphatase],[locus_tag=PMT_0851],[protein_id=CAE21026.1],[gene=None],[protein=possible phosphoesterase],[evalue=8.37017E-89]
[locus_tag=Syncc8109_0735],[protein_id=AHF63115.1],[gene=futB],[protein=putative iron ABC transporter],[locus_tag=PMT_1287],[protein_id=CAE21462.1],"[gene=futB,hitB]",[protein=putative iron ABC transporter],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0736],[protein_id=AHF63116.1],[gene=futC],[protein=ATPase],[locus_tag=PMT_0501],[protein_id=CAE20676.1],"[gene=futC, sfuC]","[protein=ABC transporter, ATP binding component, possibly iron transporter]",[evalue=7.04683E-130],[locus_tag=PMT_0691],[protein_id=CAE20866.1],[gene=None],"[protein=ABC transporter for sugars, ATP binding protein]",[evalue=6.84996E-61],[locus_tag=PMT_1545],[protein_id=CAE21720.1],[gene=None],"[protein=possible ABC transporter, ATP binding component]",[evalue=5.19133E-46]
[locus_tag=Syncc8109_0737],[protein_id=AHF63117.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1285],[protein_id=CAE21460.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.22843E-14]
[locus_tag=Syncc8109_0738],[protein_id=AHF63118.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1284],[protein_id=CAE21459.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.97679E-177],[locus_tag=PMT_0556],[protein_id=CAE20731.1],[gene=cobW],[protein=putative cobalamin synthesis protein],[evalue=3.72228E-30]
[locus_tag=Syncc8109_0739],[protein_id=AHF63119.1],[gene=phhB],[protein=4A-hydroxytetrahydrobiopterin dehydratase (PCD)],[locus_tag=PMT_1283],[protein_id=CAE21458.1],[gene=None],[protein=4a-hydroxytetrahydrobiopterin dehydratase (PCD)],[evalue=3.79919E-34]
[locus_tag=Syncc8109_0740],[protein_id=AHF63120.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1281],[protein_id=CAE21456.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.97999E-57],[locus_tag=PMT_1282],[protein_id=CAE21457.1],[gene=None],"[protein=possible Helix-turn-helix protein, copG family]",[evalue=2.34051E-15]
[locus_tag=Syncc8109_0741],[protein_id=AHF63121.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1280],[protein_id=CAE21455.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.35134E-55]
[locus_tag=Syncc8109_0743],[protein_id=AHF63123.1],[gene=None],[protein=Thermostable carboxypeptidase 1],[locus_tag=PMT_1279],[protein_id=CAE21454.1],[gene=cxp],[protein=Carboxypeptidase Taq (M32) metallopeptidase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0744],[protein_id=AHF63124.1],[gene=None],[protein=Inorganic diphosphatase],[locus_tag=PMT_1275],[protein_id=CAE21450.1],[gene=ppa],[protein=putative inorganic pyrophosphatase],[evalue=1.12358E-135],[locus_tag=PMT_1257],[protein_id=CAE21432.1],[gene=ppa (ipyR)],[protein=Inorganic pyrophosphatase],[evalue=1.54786E-26]
[locus_tag=Syncc8109_0745],[protein_id=AHF63125.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1274],[protein_id=CAE21449.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.09443E-42],[locus_tag=PMT_0404],[protein_id=CAE20579.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.71361E-14]
[locus_tag=Syncc8109_0746],[protein_id=AHF63126.1],[gene=hemC],[protein=porphobilinogen deaminase],[locus_tag=PMT_1273],[protein_id=CAE21448.1],[gene=hemC],[protein=Porphobilinogen deaminase],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0748],[protein_id=AHF63128.1],[gene=rpoD],[protein=Sigma-70 factor],[locus_tag=PMT_1272],[protein_id=CAE21447.1],"[gene=sigA, rpoD]",[protein=Putative principal RNA polymerase sigma factor],[evalue=0.00000E+00],[locus_tag=PMT_2217],[protein_id=CAE22391.1],[gene=None],[protein=Putative type II alternative RNA polymerase sigma factor],[evalue=5.27754E-88],[locus_tag=PMT_0346],[protein_id=CAE20521.1],[gene=None],"[protein=Type II alternative RNA polymerase sigma factor, sigma-70 family]",[evalue=1.73569E-85]
[locus_tag=Syncc8109_0750],[protein_id=AHF63130.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)],[locus_tag=PMT_1271],[protein_id=CAE21446.1],[gene=priA],[protein=primosomal protein N' (replication factor Y)],[evalue=0.00000E+00]
[locus_tag=Syncc8109_0751],[protein_id=AHF63131.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1269],[protein_id=CAE21444.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.11281E-36]
[locus_tag=Syncc8109_0752],[protein_id=AHF63132.1],[gene=argB],[protein=acetylglutamate kinase],[locus_tag=PMT_1268],[protein_id=CAE21443.1],[gene=argB],[protein=Aspartokinase superfamily:Acetylglutamate kinase],[evalue=7.81226E-177]
[locus_tag=Syncc8109_0753],[protein_id=AHF63133.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1267],[protein_id=CAE21442.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.28436E-93]
[locus_tag=Syncc8109_0754],[protein_id=AHF63134.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1266],[protein_id=CAE21441.1],[gene=None],[protein=conserved hypothetical protein],[evalue=1.06751E-19]
[locus_tag=Syncc8109_0755],[protein_id=AHF63135.1],[gene=None],[protein=hypothetical protein],[locus_tag=PMT_1265],[protein_id=CAE21440.1],[gene=None],[protein=conserved hypothetical protein],[evalue=4.47081E-74]
[locus_tag=Syncc8109_0756],[protein_id=AHF63136.1],[gene=None],[protein=precorrin-6X reductase],[locus_tag=PMT_1264],[protein_id=CAE21439.1],[gene=None],[protein=Precorrin-6x reductase CbiJ/CobK],[evalue=1.25908E-79]
[locus_tag=Syncc8109_0757],[protein_id=AHF63137.1],[gene=None],[protein=putative divalent cation tolerance protein],[locus_tag=PMT_1263],[protein_id=CAE21438.1],[gene=None],[protein=CutA1 divalent ion tolerance protein],[evalue=2.55841E-32]
[locus_tag=Syncc8109_0758],[protein_id=AHF63138.1],[gene=pfkB],"[protein=putative carbohydrate kinase, PfkB family]",[locus_tag=PMT_1262],[protein_id=CAE21437.1],[gene=None],[protein=Possible carbohydrate kinase],[evalue=3.43488E-176],[locus_tag=PMT_0136],[protein_id=CAE20311.1],[gene=None],[protein=Putative carbohydrate kinase],[evalue=4.40719E-09]
[locus_tag=Syncc8109_0759],[protein_id=AHF63139.1],[gene=purA],[protein=adenylosuccinate synthetase],[locus_tag=PMT_1261],[protein_id=CAE21436.1],"[gene=purA,adeK]",[protein=Adenylosuccinate synthetase],[evalue=0.00000E+00]
